cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57
119,lulL rapidemonl,mademoiselle,Demohl,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,a1,.A1,.A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,htes,plaes,cyes,bagaes,Ves,Marches armoricaines,CGes,maindes raquettes,faroces advesaires,P,Es,Les brunches,ctes-,"A' 
t

ES",affoles,Tes,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Peaux-louges,Peaux-Rouges2,Peaux-louges qul,Peaux-Rouges epa-,Peau-lRouge,Rouges,Peaux-ouest,Peaux-lRouges,Peaux-Rouges,Pean-Rouge,Peau-Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,N-,Enviion,L6on,Jumon-,Albion,baon,Ion-,Seduction,opinion2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,fier,gibier1,oflficiers,dernie,fievre,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,avanl,Nlck,auptravant,Avait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,M,A6,A60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,mone,Tonne,seuil de la maisonnette,anne,prisonnie,pexsonne annoncee,Sonne,- Abandonne-les,tone,mnaisonnette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Espace,taces,Tacy,zxzcE-,palce,Iace,Enlaces,Pace,grace,Lovelace,- Grce,ParcE,Acceptez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,IBelle Riviere,Belle-Rivire,soreellerie,l3elle-Olivier,Belle-Olivier,lBelle-Riviere,Ilelle-RRiviere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,l3erger,abbe,Bege,Berge,lBerger7,.aUberge,Bergel,Bergei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,E'i.I,E',".E',1",ce',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Londres,satnis reponse,Andre,epondre,repondre,reponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Océan,Ocean,lOcean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Prosorit,Pros-,Proserit,Proscrit.-,lProserit,lProscrit,Poscrit,proscritl A,Le Proscrit,Proscrit-,Proscrit,Procrit,Prossrit,Pyoscrilten,Prosoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,E7,faireune,affairel,faire7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Viginie,Yirginie,fouinie,pseudo-Ironie,Virginie,Nirginie,Ironie,Inieux,ganie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,heure-:t-e,amoureuxl,Createur,ceurl,Heure,natuure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,MP,tompei,trompei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,hospilalitel,6viter.-,profitera-t-il7,pironpte,Sans-Piste,depit,Pite,Iacilite,precipitee,excitee,Ponce-Pilate,hesiter,Tecits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,.g-c,.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Misvables,accables,"diables7
- Plutot",diables7,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,gre,malgre,Malge,Lhidalgo,Malgre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,alpio,Malevul,alluma,Égal,malte,Royal-Marine,chateau de Maleval,Mee de Maleval,alever,Maleval,Malevall,Jerusalem,Alos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Iatigues,guer-,Iatiguer,guerisse,vigueui,Atlantique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Prc,los votres,Propre-,popre,odres,aprbes,aulres,notres,Presque aussitot,pres,resuma,Aupres,trallres,Apres,sepre,rEprit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,lEuropeens,Europeens,Europe,delicatesse des Europeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,N1,n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Franeais,Franais,lesFrangais,Frangais,Fugais,Iragais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,tantbt,plant6 le Ioten,Sainte,Tuant,aneantirent le Iruit,maintenant7,Mluintenant,ceonnaissant,segent7,caignant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,.'ardente,Accidente,pintemps,Consentez,"consentezl
- Pardieu",Consentez-,contentez,- Completement,tentee,conteni,charpentee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Mluclay,saclem,tfaconla,Maclay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,C1.-,c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,M. de Grigny,Grigny,baron do Grigny,Griguy,buron de Grigny,baron.etRs%,copaguie de rigny m'eel arive,BAron1,baron de Grigny,Gigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,regardez le soleil,soleil,souple,gand soleil,Le succbs,dole,desole,Le soleil,drole avee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Washington,Washiington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,blancsl,fe-blanc,elanca,Blancs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,IL L,IL1,lil,IL L0puis,il’,IL S,ILA BELLI RIYILRE,IL M',fusils7,"I'
IL",Pilma,"ŒIl
I","r,:il",Il3,Il:-,IL,ILA,"IL,1",Iusil,ILs,"E


IL

d
e",ŒIl,Ilavgese,Iils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,vieillacd,Villiersl,taillis,alliees,Villiets,Villies,i,ilnie vix,Yillies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Cunadien,Canadienne,Canada,ILe Canadien,Canadieon,Canadiens,Canudienne,chasseu canadien,Cnadien,Canadien loes,metropole canadienne,Le Canadienjelta,Canadions,Canudien,le Caadien,Canadien,Wad,Cauadien,diane,Cana-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,chasseui,chassel,chaussues,chasseu,Chaussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,- Signe,"com-
espagne",besogne,capagne,Espagnol,espagne,d'Espagne,cmpagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,mrs,MRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Celte,ELD,celasans,HEl,"El

l
E",Amel,"El
E","S
el
 
 1","HEl
I",celaf,Pelage,el,El,Tels,elau,Bastel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,trouves-,Iauve,Iauves,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Irancais,lrancais,Fancis,Francais,Fancais,faisos-nous7,francais,Faneais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Revenons,Mve,preveni,"veni
- A",Enveloppe,vengel,Pavenu,souveni,reveni,soulenir,interveni,Venise,centve,veni,IR1AVENIR,oment de veni enaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Lhches,empecher,chefl,lche,tche,Cher,huche,"leude cheri
de",cher-,Marcher,Couchez,chevaux7 Cependant,sachet,penchee,lches,chegz,breche,Cherche,recherchee,ouchee,Marches,sachem,morichee,Tbucher,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,I2,Lajeune,lejeune,Lejeune,Leu,ijeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,crois,Bois-l'racy,Bois-Irai,Bois-Ombre,Bois-Être7,bois-il6s,Bois-irai,du bois-le,Bois-Brles,brave Bois-Elle,Bois-,Vois-tu,Z0,Bois-Arbres,Tais-toil,HBois-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,MI,wampums,"E
I

amI1",Ami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,wigwvm,ge,verlige,exigeez,inllige,Maige,ige,assiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Manangahela,Manongohela,Manongahela,Mlanonghahela,reunion de Manongohela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"WZ
-
A",- M',"¬- 
 -
.s","E
N

- 
il
- A demain","I
- 
 
 
-,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Caudebec,Quebec,Qubec,Ouebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,".,L","P,-F",".,.3-","c,-","2-,-AgIT-G",".,-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,concentree,coeu,CONTRECEUR,Wacondah,Contrecoeu,Contreceur,la lecon,Contrecur,Gascon,Contrecoeur,coeu gonfl,Contre-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,clotue,fl,aflot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Creole,vincre,Ln,eNcre,Ancre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,saus,Aucue,"xEZIE

l
EAU",Nouveau-,AU CHATEAU,"ſl

Eau",EAU,beauceoup,lBeau-,Bordeaux,Eau-Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,serviteuen,foteresse,taversee,severe,grnd lrve,Observez,miseres,reserve,Sevres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,5E E,"E

e


3L
x","EH

E

II","E


E","I


E","E
 

E","E

E","JE

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,ajouta-t-il,Eeoutez,Ajoutez,écoutez,- Ajoutant,degout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"I
E
I

C

R
I
I

 
-
ET
ELLE","T'I
r","E


I
E.
IL","XI
E
I
 C","I
E","I
Ah
E","I
I
E.","zZ
E

I
x1I
I.","I
L","II
E","AI
A","I
M","I
12I
L","I
I
E","II
I
E

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Y-:s,y-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,lac lEri,piece eclairee,clairiee,clairiere,claiiere,eclai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,aUtre-,au Havre,extreme,Autre,Mattre,- trèS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,L.oR,t.,.et;L.,.-L.,L.L,l.,z-L.,L.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,forlune,lUne,Boune,lune,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,de Versailles,Aives,Versailles,Doussailles,elevees,Vesailles,ILes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Wnldecl,deji,Dej midi,Dej,Deji,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,meritee,Ierme,Iermee,larmee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,E;.,"L,;.","L,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,ciell,"Ee ie e iees
daa",MLLLE IIVIEIE,BIELLB AIV1EIE,"BLLLE R1YIE
landier",IELLlE IVIEE,BELLE IVIEnE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,penetrer,reteni,teni,Ben,Ioten,.en,tristemenl,vrenoontra,pendunt,Va-t'en,entreteni,penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Pa-,aparte,Irappa,paratt,appaence,PaPa,parviut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Iouha-,Iouha-Hande,Iouha-Hand6,Kouha,IKouha-Hande,louha-Hande,Kouha-Hande,loup-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Longtemnps,- Allonsl,i Rollon,Leona,Iayelon,Lona,colons.-,Coulon,Lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,epee,amaree,depart,eparee,amarree,epars,pepare,peparee,prepara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,car--,Gcagse,Caen,Teocalis,scabrex,.%,ca,cascabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,aS,- Pas,As,pas7,passee,Pas,Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,l'Amerique,Amerique septentrionale,briquet,Americains,Mexique,lJistorique,Ameique,Amerique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,S',s''1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,7I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,tfleuve Saint-Laurent,"fleuve
Saint-Laurent",saint-,Le Saint-Laurent,Saint-lLauent,Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Visages-Alors,Visages-Ples,nuaages,Visages-Les,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,voi,moil,Voilh,Vois,Voili,savoir7,voila,Voil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,A peie,I4,eeoieie,calomniee,HR1VIEE,matiee,IANIEE,i.naiiei,eeieeie,aeiEEE,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,plupurt,vecu,ecurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Palez,allezl,Allez,parlez1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Fance,roi de France,brancad,Frunce,Franoe,fray6,Fran-,la France,"Francef
- Non",dislance,Francef,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,verai,egayer,ler,Ferney,Er,percee,merisier,vers6s,z=,perdula,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,chitaignie,tauie,hospitalit6,R,italie,Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,etles,"de
 castle",cetle,outle,atlend,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Providenee,Providence,A'L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,appiopiees,siege,piece,piege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Même,Aise-aux-Marigots,Même-aux-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,capitaiue,cpitaine,capiltaine Palamede,cpilaine,capitaihe,capitaineJames Maclay,oapitaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
