cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52
146,"EEl

 ET",avol ehtedus,"L

E",".l

E","N

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,.G,.g-c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,L6on,bon7,Bonsoir,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Chichimeques,Ouelques,Qnelques,gre de quelques-un,echoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Aewerccr-,.r-3-r-,r-,r-N,LLr- AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Ouebec,Caudebec,Quebec,Qubec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"E
N

- 
il
- A demain",Demain-,bienl Demain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,- Ariverons,Harison,ariver,Arive,RIV1,copaguie de rigny m'eel arive,arive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,hospitalit6,Italie,tauie,italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,faireune,E7,affairel,faire7,dire7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,.en,centve,Mve,reveni,interveni,vengel,souveni,veni,Venise,"veni
- A",Pavenu,oment de veni enaide,Va-t'en,IR1AVENIR,preveni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,l1 cria,7I,ecria,Qu'6cria,Cria-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"II
E","E


I
E.
IL","I
Ah
E","ii'

I
E","I
M","Z
e.
E","I
E","I
E
L","I
E
t","T'I
r","XI
E
I
 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,parc du chteau,cap du Chat,J1,AU CHATEAU,au Havre,chatean,hate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Remerciez,Inerci,Merci,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,UN NI L.,"II

l","I
I




 L.I

E","I


L","A L
T","II




 L","CI

l
M
OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,MRS,mrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,natuure,heure-:t-e,amoureuxl,Heure,Createur,ceurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Moi7,amoins,remettez-le-moi,moi7,moil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Providenee,263,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"1 L.T
-
189
rEI

E",.T,"WZ
-
A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Europe,delicatesse des Europeens,Europeens,lEuropeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,grnd lrve,unsgrand,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Petil-Fort,Vil-,IL-,Il-,L-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"II

I
I
I","ICI

i
:s
l
tU","N

I

i
5
R","I
S
I

I
-
m1","I

I
I1","El

 
I



h E

I
I
I
I1
II
II1

JE

REE

I
MI

I
I



ET

1
I
A

IL

Il


IL","I

I
I.
I
I","CI

I
IL","A

I
1","I

I
II","I

I
i","I

I
I
l","I

I
I","aH

I
I

II1I

I
i
1",".L.

I
I","I

i
I","I

I
I

Ii 1","I

I
t
I


N","I
I


I
 
 i
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"E1

I
N
La","II
LE OR","I
12I
L","IL


II
l","rnn
L","I
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,avanl,lDevant,auptravant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,la Riviere,ct de la riviere,"RIVIlEnE
A",Riviere,IVIERNE,IBBLLB HRIVIERE,L7,"RIVIEnE
La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"II
filLe'
 D",trvaille,Eparpille,feuillee,lille,Veuillez,Jumonville,tamille,Menneville,Villlers,Eveille,ille,Suveille,batnillel,iille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,efuse,audacieusemenl,meuse,Matheueusement,eusset,gnereuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,tu6s,N0tu,C018,c0Tu,c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Sommes,Sommes-,la somme,comment7,Iemmes,Hommes,hommE-,hommesrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,cmpagne,d'Espagne,capagne,besogne,espagne,"com-
espagne",Espagnol,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,wampums,MI,pyramides de Cholula,amiti6 de cbte,"E
I

amI1",Ami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"I

E

I
f
E","F

I

2
ELLe


i
P","2Z
F

I

2
ELLe


i
P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"zEEEEE
E",epee,Ee,zEEEEE,gEEEE,E:.LEEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,beauceoup,"xEZIE

l
EAU",Eau-Jaune,lBeau-,Chteaux-,L’,EAU,Nouveau-,Aucue,"ſl

Eau",Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"E
N","OR

I:E
E
L

a

g","E
E
t","S

E
E","E
E
 

II","E
E",5I,"2E
E","E
E
ELLE","E
A

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,atlire,SIRE,Dire,Vire,Sire,conslruire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,MLLLE IIVIEIE,BELLE IVIEnE,IELLlE IVIEE,BIELLB AIV1EIE,HR1VIEE,"BLLLE R1YIE
landier",ciell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Alleghanys,rivieres Alleghany,Allehany,monts Alleghanys,Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Achives,arrivonsl,Aives,arrives7,Arrives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Avait,Aigle-,L'Aigle,L'Aigle-Avait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,x.L,.L-L,.l,.L,II.L,c-.L,L.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,jura,verai,jurerais,ignorais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,proscritl A,lProserit,Prosorit,Proserit,Prossrit,Pros-,Procrit,Poscrit,Proscrit-,Proscrit,Pyoscrilten,Proscrit.-,Le Proscrit,lProscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,vouS Conaltre,samaltresse,reconnalte,Conaltre,alttira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,elrange,etranges,Ange,Angele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,couirs,Louisiane,lout,Louisl,-1Louis,OUI-GRIS,Louislt,Louis3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Rameau-,Rameau-d'Or,Rameau-d'O.,Rameau-d',lameau d',Ramneau-d'Or,IRameau-d'O,Rameau-d'O,Rameau-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,i.naiiei,Ii-,Iils,Iin,EII,GIIFIROY,e:-r- es-Ziiciiiaii i,"II'
1I


M",IIy,II,JE-riisiiaa,IIIIIIIIIIIIIII,C'6tiit,Eetiiiee,"IIIIIl
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,cbte?1,anxiete,Nhecte,tete baissee,repete,tete,batte,sete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,nuanoe,reunion de Manongohela,y.,Manangahela,Manongahela,Mlanonghahela,Manongohela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Anticosti,Iume,coStume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Ients,Bientot,sauvagesl A bientt,Totem,enTourait,Combien,C'0étaient,lBien,bientot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,loyaut6,extreme,m-autre.5---a-,aUtre-,Autre,Mattre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,I.1,"1A
I.I","1I
I.I","zZ
E

I
x1I
I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,L.oR,senor Palamede,foree,lore,"or,-",Nord,sorl,Or,"OR

I",Lignorez,New-Yorl,aLOrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,drue,fourr6s,fourrue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,blancsl,fe-blanc,elanca,Blancs,melancolie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,ganie,aniti6,IANIEE,calomniee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,gibier1,r1l,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,caractee,grinca,scabrex,Caen,ca,cascabel,car--,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Visages-Ples,banchages,J,Visages-Les,Visages-Alors,nuaages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,l3elle-Olivier,Ilelle-RRiviere,IBelle Riviere,Belle-Rivire,lBelle-Riviere,Belle-Olivier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Alos,Pesque,Losque,lLorsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,secet,rponse,pise,maquise,bruitset,marqulse,Ilavgese,senl,coutse,segent7,Observez,SE,Gcagse,SURPR1SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,toul,toules,oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,trouves-,Iauves,Iauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"r,:il",il:.:s-,Iusil,Ponce-Pilate,ILes,"ŒIl
I",ILs,lil,sterile,ILA,fusils7,Il3,il’,Il:-,Pilma,IL,ŒIl,ilnie vix,"I'
IL","IL,1",Lile,IL1,ILA BELLI RIYILRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Washiington,qualre-vingts,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,est',l,IEst,- Est,ESt-ce,".est;:,i",Est,Pestel,ouEst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,E1,appiopiees,r2,Bege,O,siege,piece,piege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Doussailles,taversee,Versailles,vers6s,Vesailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,chevaux7 Cependant,1(0,pendunt,Pendanl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,teni,i arrete,etendus,m-,srete,entreteni,reteni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,aisaiaraar,failliai,Inuimurai,"AI
A",faix,air2,Ailez,AI,Soudain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Tais-toil,Bois-l'racy,Vois-tu,Bois-Arbres,Bois-Être7,bois-il6s,HBois-,du bois-le,Bois-Ombre,Bois-Brles,brave Bois-Elle,Bois-Irai,Bois-,Bois-irai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"¬- 
 -
.s",- M',"I
- 
 
 
-,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,XIY,RIYILEnRE,RIYIhE,RIYIEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,matiee,eeoieie,aeiEEE,A peie,eeieeie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Lhches banditsl,Lhches,Nlck,Marches armoricaines,Marches,Les brunches,lches,lchetel,lche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,atlend,"de
 castle",cetle,EX2ET,etles,outle,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,opinion2,baon,Albion,Enviion,N-,Seduction,Jumon-,Ion-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,huche,morichee,Couchez,penchee,ouchee,Boucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Loups-Hurons,Huron,Yoguons,Fumerons-,Huml,Bisons-Hurons,Hurons,everrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,A%lIItl,Prosoit,Soitl,soitl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,z-7,z-L.,.-Z-,-Z-G,z-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Prc,trallres,miseres,odres,sepre,resuma,Sevres,bruyeres,Aupres,Presque aussitot,notres,Apres,aulres,resister,pres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,by God,Royal-Marine,Marigots,Aise-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"9

UI",pluie glacee,Luy,luii,celui-ei,"Eh
UI",LUi,quif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Ben,1'Il-de-benf,1'Il-de-Buf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Fance,Francef,Franoe,Fran-,dislance,"Francef
- Non",fray6,la France,Frunce,roi de France,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Tecits,Cecije,"L.S.EEECih1
---",EeCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,.-------.-,L-----1,--'1,A---------.--.--ELLE,L---E---L,".-:---,C-",Y---,"A---
 
III",e----e,LAn------:-L,----L.',L----,--z--,A---,.----es,L--7,L-----ra,s---=-ee,-----ecxxz,y---------,--------ah,or----,Iiiltie------ELle-,L.L----A-,e:----.--------,T----,.-----------,e:-----,"I
A.,
-
300
x---i-",A----t,"F-,----P--,-êtRe",i----,--t--,espère-et-err'`r---------------a----------------------,L:---,ŒiL--.-----.---a---.-----a-----=i-------------------------------------eau=il=-=je,.'---;--------c=.-,"P' ``,-
---- --
..:...----------:-
316
LA ELLIE",--------.-,ai-------,ELLE-----se--------------------L.,i:::--.---------:------------:a,AInsi-'.5.C-2C:--::-----A----e-::=-a--,C----ii,--=--=---====-5,c:----------------,----,---L-,"c-,r----c",je-------------,"E.:y,:P----rrre-ree",s------,r-.----L-
241,.-Je,Sije,"I
Je",Jerusalem,JE.-',jela,JE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,".L

I
z
2.-","E
E

R

I
Z","E

R

I
Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Tonne,prisonnie,anne,- Abandonne-les,seuil de la maisonnette,Sonne,pexsonne annoncee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,obeir,plius,aceomplir,plir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,vousl,nousf,nousle,savez-vous7,vOuS.,Oi voulez-vovs,Yous,gare a vousl,vousf,Avouea,voUS,us,faisos-nous7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,piece eclairee,declarer,Maclay,Wnldecl,Mluclay,eclai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Wurd,P,flt Ward,- Gueusard,Wad,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,lese,Iaiblesse,oppessee,foteresse,blessee,oblesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,rer,exageree,.-eer-,fier,perdula,dernie,percee,egayer,fere,lac lEri,Er,merisier,ler,legeret6,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,ordes,Cc,Acceptez,Accordez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Vive,LIv,"IVſ
i",IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,t.,C1.-,c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,.et;L.,L.a,.-L.,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,capiltaine Palamede,cpitaine,cpilaine,capitaihe,chitaignie,capitaiue,capitaineJames Maclay,oapitaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"I
E
I

C

R
I
I

 
-
ET
ELLE","P
E
I
T

I


tu
E","E
I","II

T
L
I
IL","E
I'

 ET
E
II

T
L
I
IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"fleuve
Saint-Laurent",saint-,Le Saint-Laurent,tfleuve Saint-Laurent,Saint-lLauent,Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,querrezla,Veuiueree,tereu,deierre,A terre,Erreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,haron Armand,dnans,Armnund,Armnand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"I


E","E
II

E",A4,"II

tu","II

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Opossum,reposet,opposea,epos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,exigeez,wigwvm,Maige,assiger,inllige,ge,verlige,ige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,coinpartimentsau,"heIN
aIME

t",Bien-Aime,vraimentl,Vraiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,s-3,s-r,s-L,s-g3Rg,S-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,frontiere,cimetieres,Iontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,deserl,reserve,lourdeset,desert na cela,deserte,desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,fouinie,Yirginie,Virginie,Inieux,Viginie,compugnie,Nirginie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
