cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
187.0,Chichimeques,Ouelques,Qnelques,gre de quelques-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188.0,plaes,bagaes,plaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.0,efuse,Iusil,Iils,ILs,fusils7,Usine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.0,"E
N

- 
il
- A demain",choses7 Demanda,Demain-,ain,bienl Demain,Soudain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.0,GEIFFR0OH,GEIFROY,CGEFIFROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.0,- Ariverons,Vive,ariver,Arive,RIV1,copaguie de rigny m'eel arive,arive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.0,"II
E","II
II
II
f
1","II
-'","1I
II
I

1
I","II
II
HUI
E","II
I","AI
II
2A","S
IIPI
II
E","II
II
I","N
grIS

II
ILII
e
III 
G","II
II
E.

I

I





I.","II'
II
II

I","I'
II
l
R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.0,"I
III 
I
III

l
 J","JE
III 

IL
t","III 

I&","G

III


S
f
IL","III

I
CI","III 

I",Aucue,"III

R
II

-'


1 L.
1","II
III 

II

I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.0,hospitalit6,lIe,cavalie,Teocalis,Italie,italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.0,fier,fievre,Sevres,au Havre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.0,faireune,faroces advesaires,affairel,faire7,dire7,air2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.0,"consentezl
- Pardieu",Consentez-,contentez,Consentez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.0,reveni,interveni,souveni,veni,Venise,"veni
- A",Pavenu,oment de veni enaide,IR1AVENIR,preveni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,miseres,egayer,bruyeres,foteresse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.0,malgre,Malge,Malgre,gre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.0,faix,retaitel,faitel,Parfait,- Faites,hospilalitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.0,Bege,siege,segent7,piege,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.0,parc du chteau,cap du Chat,AU CHATEAU,chatean,hate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.0,Leu,Corbleul,pleus,payeus,souple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.0,Aewerccr-,Remerciez,Inerci,Merci,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.0,MRS,mrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.0,"E

E","E

e


3L
x","E


E",5E E,"JE

E","E
 

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209.0,nuanoe,tantbt,eflechissant,Tuant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.0,UN NI L.,"II

l","I


L","II




 L","CI

l
M
OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211.0,natuure,heure-:t-e,Heure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.0,hesiter,vitel,svit,6viter.-,serviteuen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.0,nousf,nousle,faisos-nous7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.0,"Ci

z=","E

 N
 
I
 
r","G'

AH

I

Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.0,Europe,delicatesse des Europeens,epee,Europeens,lEuropeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0,Petil-Fort,Vil-,IL-,Il-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.0,"II

I
I
I","ICI

i
:s
l
tU","N

I

i
5
R","I
S
I

I
-
m1","I

I
I1","II

I
II
M","I

I
I.
I
I","CI

I
IL","I

I
II","I

I
i","E

I
II","I

I
I
l","I

I
I","aH

I
I

II1I

I
i
1",".L.

I
I",".l

II
IL

Y
I

 ET


III

i
I
2.A","I

i
I","I

I
I

Ii 1","I

I
t
I


N","I
I


I
 
 i
I",,,,,,,,,,,,,,,,,,,,,,,,,
218.0,"II
LE OR","I
12I
L","IL


II
l","I
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.0,avanl,lDevant,auptravant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0,la Riviere,ct de la riviere,"RIVIlEnE
A",Ilelle-RRiviere,IBelle Riviere,Riviere,lBelle-Riviere,IVIERNE,IBBLLB HRIVIERE,"RIVIEnE
La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.0,LIN,senl,senlinelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.0,"II
filLe'
 D",trvaille,Eparpille,feuillee,lille,Veuillez,Jumonville,tamille,Menneville,Eveille,ille,vieillacd,Suveille,batnillel,iille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.0,grnd lrve,reserve,Observez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.0,rendez-vousl,savez-vous7,Oi voulez-vovs,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.0,Sommes,Sommes-,la somme,comment7,Iemmes,Hommes,hommE-,hommesrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.0,"I
I
-
1

I","asIE

I

T
I
I
IL
 SI","I
I
E","E

I
I
I
I1","I
I
I","II
I
I
I.
I.","S
 E

AH

I

I.
I
III 


SI
I
3
t
LA BELLE","I
I
IL
III","I
I
I
I
IL",".:F'

r
I
I","I
I
t'","I
I
I




i1
I
I
I

I","I
I
A","I'
t.
I
I
I
I
I
I","I
I
I
I","I
I
E.","I
I
I
.I",".:AI
i
I","I
I
t","I
I
I
I
I","I
I
Ma
 AH",,,,,,,,,,,,,,,,,,,,,,,,
227.0,cmpagne,d'Espagne,capagne,espagne,"com-
espagne",Espagnol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.0,Marcher,Marches armoricaines,Marches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.0,Même,Même-aux-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.0,"F

I

2
ELLe


i
P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231.0,"zEEEEE
E",zEEEEE,gEEEE,E:.LEEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.0,sorl,New-Yorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0,MLLLE IIVIEIE,BELLE IVIEnE,Mnis,IELLlE IVIEE,HR1VIEE,ciell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.0,Alleghanys,rivieres Alleghany,Allehany,monts Alleghanys,Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.0,Achives,arrivonsl,Aives,arrives7,Arrives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.0,Avait,Aigle-,L'Aigle,L'Aigle-Avait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.0,reconnalte,malte,alttira,Altendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.0,proscritl A,Procrit,Poscrit,Proscrit-,Proscrit,Pyoscrilten,Proscrit.-,Le Proscrit,lProscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.0,vouS Conaltre,samaltresse,Conaltre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,fere,L'inconnu'arrêta,L'indifferenee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.0,"S
n.
I
 QU","I
i


S","I
I




 L.I

E","I
I

2","II

21I
I

.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.0,cap des Monts-Peles,baie des Marmousets,baie d'Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,l1 cria,ecria,Qu'6cria,.qu',Cria-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.0,haron Armand,.et;L.,baron.etRs%,BAron1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.0,coeu,by God,coeu gonfl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.0,Faneais,Franeais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0,"grIS

II",grinca,Oui-Fine,OUI-GRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.0,Rameau-,Rameau-d'Or,Rameau-d'O.,Rameau-d',lameau d',Ramneau-d'Or,IRameau-d'O,Rameau-d'O,Rameau-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.0,reunion de Manongohela,"I
cI.",Manangahela,Manongahela,Mlanonghahela,Manongohela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,Anticosti,Iume,coStume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.0,Ients,Bientot,sauvagesl A bientt,Totem,C'0étaient,bientot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.0,m-autre.5---a-,aUtre-,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.0,Nouvelle-Fance,Nouvelle- francS'tait,Nouvelle-Orleans,Nouvelle-France,Nouvelle-Hollande,Nouvelle-lFrance,Nouvelle-Frnce,Nouvelle-Or6as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,"1A
I.I","1I
I.I","zZ
E

I
x1I
I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.0,drue,fourr6s,fourrue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,Tecits,Sije,Cecije,EeCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0,ganie,IANIEE,calomniee,diane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.0,popre,amoureuxl,amour-popre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.0,CI1,"E
E
 

II","EH

E

II",LIE IIECI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,Contrecoeu,Contre-,Montreal,Contreceur,vrenoontra,Contrecur,CONTRECEUR,Contrecoeur,ceurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.0,Visages-Ples,Osna,visge,banchages,s-L,Visages-Les,Visages-Alors,nuaages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.0,l3elle-Olivier,LIv,Belle-Rivire,Belle-Olivier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.0,- M',IL M',"E


IL

d
e",IL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.0,vousl,vOuS.,Yous,gare a vousl,vousf,Avouea,voUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0,"E
E
t","I
E","I
E
L","I
E
t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.0,Alos,Pesque,Losque,lLorsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0,"2Z
F

I

2
ELLe


i
P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,paratt,prepara,pepare,depart,parviut,eparee,peparee,epars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0,lulL rapidemonl,Jumon-,mone,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,Iauves,Iauve,Ves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0,pluie glacee,luii,celui-ei,LUi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.0,IL L,.Puis,IL L0puis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.0,est',IEst,- Est,ESt-ce,".est;:,i",Est,ouEst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.0,parc de la comtesse,eomte,comtne,comtesse de Maleval,comntesse de,comtesse de MIa-,Mee la comtesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.0,secet,piece eclairee,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,Doussailles,Versailles,Vesailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.0,PensA7,Pensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0,chevaux7 Cependant,pendunt,Pendanl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279.0,severe,taversee,verai,vers6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,Rendez,surprende,SURPR1SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281.0,teni,i arrete,etendus,srete,conteni,entreteni,reteni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282.0,BBLLE,"BELLlE R1ELLE
Deux heures",BBLLE R1ELLE,"BLLLE R1YIE
landier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.0,RIYILEnRE,RIYIhE,ILA BELLI RIYILRE,RIYIEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284.0,yeux7,"S

D",tauie,auixyeux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.0,"WIIIIII
III 
L",IIIIIIIIIIIIIII,Eetiiiee,"IIIIIl
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.0,Andre,gand air,Amand,gand,Qand,guand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287.0,matiee,litieie,eeoieie,aeiEEE,A peie,BIELLB AIV1EIE,eeieeie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288.0,Lhches banditsl,Lhches,Les brunches,lches,lchetel,lche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.0,atlend,cetle,etles,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290.0,huche,morichee,Couchez,penchee,ouchee,Boucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291.0,Loups-Hurons,Huron,Fumerons-,Bisons-Hurons,Hurons,everrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292.0,z-L.,.-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.0,odres,sepre,resuma,Aupres,Presque aussitot,Apres,pres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0,jurerais,Lignorez,ignorais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295.0,couirs,Louisiane,Louisl,-1Louis,Louislt,Louis3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296.0,ENfIN0Y,Ben,1'Il-de-benf,1'Il-de-Buf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297.0,tounure,Boune,touner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.0,tentee,charpentee,.'ardente,jou pecedent,Accidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299.0,jours;.,.L-L,Point de diffrence,point dujour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,Francef,Franoe,Fran-,"Francef
- Non",fray6,la France,roi de France,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301.0,diables7,Semblables,JE.-',accables,Misvables,"diables7
- Plutot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302.0,.-------.-,L-----1,A---------.--.--ELLE,L---E---L,".-:---,C-",Y---,e----e,LAn------:-L,----L.',L----,.----es,L-----ra,-----ecxxz,y---------,--------ah,or----,Iiiltie------ELle-,L.L----A-,e:----.--------,T----,.-----------,e:-----,A----t,"F-,----P--,-êtRe",i----,espère-et-err'`r---------------a----------------------,L:---,ŒiL--.-----.---a---.-----a-----=i-------------------------------------eau=il=-=je,.'---;--------c=.-,"P' ``,-
---- --
..:...----------:-
316
LA ELLIE",--------.-,ai-------,ELLE-----se--------------------L.,i:::--.---------:------------:a,"L.S.EEECih1
---",AInsi-'.5.C-2C:--::-----A----e-::=-a--,C----ii,c:----------------,----,---L-,"c-,r----c",je-------------,"E.:y,:P----rrre-ree",s------,r-.----L-
303.0,affoles,desole,Creole,dole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.0,elrange,vengel,etranges,Ange,fidele,Angele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.0,anxiete,bruitset,repete,tete,eusset,sete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.0,".L

I
z
2.-","E
E

R

I
Z","E

R

I
Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,Renard-Bleu,lRenard-Bleu,Renard-Elle,Le Renard-Bleu,Benardo,Renard-Blou,Renard-Le,Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308.0,Tonne,"...
- Pas de mots malsonnantsl",anne,- Abandonne-les,seuil de la maisonnette,Sonne,pexsonne annoncee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309.0,atlire,plius,pilosoplie%,aceomplir,plir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.0,ILes,lil,sterile,Ailez,Lile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.0,Seduction,Propre-,Roproluction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0,coinpartimentsau,vraimentl,Vraiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.0,flt Ward,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314.0,"II
III
 
 I
1I
'
1
I
I1","I
I
II
II
 
III
I
II","II
I
1Y","II
I
IMA","El

 
I



h E

I
I
I
I1
II
II1

JE

REE

I
MI

I
I



ET

1
I
A

IL

Il


IL","I
I
III
IL","II
I
E

E","II
I
I","II
I
II
I","IIM
I
II","II
I
IL","I
I","III

I
I
IIHI","II
I
I
I
III
F","mer

II
I
1
I","II
I
A","I
I
II
2I
t

'","II
I
I.

II

I
II
I","A
I
II
II
II1
I
N","II
I
Il//IL","I
I
II","II
I
vI","II
I
A.

I","II
I
II",,,,,,,,,,,,,,,,,,,,,
315.0,Iaiblesse,oppessee,blessee,oblesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316.0,Pa-,gibier1,Bien-Aime,croyez-le bien,Combien,lBien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317.0,loyaut6,vautou,- Suis,suivaut,Iaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318.0,Royal-Marine,Marigots,Aise-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319.0,capiltaine Palamede,cpitaine,capitaihe,capitaiue,toldos renfemenl we tentaine de gueiers,capitaineJames Maclay,oapitaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320.0,ecoliers,elanca,melancolie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321.0,Kouha-Hande,louha-Hande,Iouha-,Iouha-Hand6,Kouha,Iouha-Hande,IKouha-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322.0,"P
E
I
T

I


tu
E","E
I","II

T
L
I
IL","E
I'

 ET
E
II

T
L
I
IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323.0,Prosoit,Soitl,soitl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324.0,"fleuve
Saint-Laurent",saint-,Le Saint-Laurent,tfleuve Saint-Laurent,Saint-lLauent,Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325.0,PaPa,- Partons,aparte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326.0,querrezla,deierre,A terre,Erreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327.0,dnans,Armnund,Armnand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328.0,"I


E","E
II

E","1 L.T
-
189
rEI

E","II

tu","II

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329.0,ontfond6,tfaconla,Spndassin,Gascon,Wacondah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330.0,exigeez,Maige,assiger,inllige,verlige,ige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331.0,apport6e,porte patr,fIort,Iort,Iortement,Iorte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332.0,audacieusemenl,tereu,meuse,gnereuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333.0,Algonquins,Inalgie,Lhidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.0,soulenir,toul,toules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.0,profitera-t-il7,- Ajoutant,--t--,Va-t'en,ajouta-t-il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336.0,wampums,chitaignie,comle,compugnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337.0,frontiere,"opinion2
- Pas entierement",cimetieres,Iontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338.0,deserl,desert na cela,deserte,desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
