cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
179,aggravee,Vesuve,Avt,AVez,pave,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,moucloirs,emouvoir,Pouvoir,eprouva,Loire,rotloir,louvoir,,,,,,,,,,,,,,,,,,,,,,,,,
181,Frelric,Fred6ric,Freleric.d,Fr4lerie,Freleric,Fred6ric d'ecrire,Fr6leric,,,,,,,,,,,,,,,,,,,,,,,,,
182,Partezl,Flabart,Lartiste,beux-rts,quartier Breda,ARTIELe,Arrtte,partez,mur arrtta,Barthlemy,ecarta,Chartres,Art,IArt,sortaitpar,Partout,,,,,,,,,,,,,,,,
183,quai d'Orsay,la Renaissance,faisaicnt,cossais,jaais,amusaitl,Ilbaissa,Sait-tGervais,Barnais,Maisje,sais,Taisez,Iaisant,visagc,econduisailt,,,,,,,,,,,,,,,,,
184,Aprbs,"aprs520
L'",Progrs,exprs,quaprs,aprbs-midi,aprs,auprs,aprs-midi,Aprs,L'aprs,,,,,,,,,,,,,,,,,,,,,
185,la manche,Tache,Psyche,crbche,cheres,urracher,tche,cheri,"Pe-
cherie",Cher,Chevalier noyen age,Boucher,manche,"mor
cher",lche,,,,,,,,,,,,,,,,,
186,sV,levit,svit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Philosophie,A YOS,Colosse,chosc,losc,Los,Gros l,IlOS,,,,,,,,,,,,,,,,,,,,,,,,
188,I.'i,I.f,i.,ami.n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Damnbreuse,Dmbreuse,siuges du Mluseum,Dambreuses,M. Dumbrcuse,Cez les Dambreuse,Ambrecicourt,Mluseum,nterrompre M. Dambreuse,fosse de M. Dambreuse,Dambreuse,"Daibreuse:10
L",Breda,breuse,Mnis M. Dambreuse,Ambreuse,,,,,,,,,,,,,,,,
190,turge,Luxembourg,Bourbonnais,de Bourges,Bourgeoise,Luxembour,Hapsbourg,Bourse,Bourges,Bourgogne,Peaux-Rouges,,,,,,,,,,,,,,,,,,,,,
191,hrume,lForcc,Iort,rue Rumfort,cortge,rue lumfort,Rumfort,lumfort,,,,,,,,,,,,,,,,,,,,,,,,
192,Constantinople,bitns,Injustice,Institut,lInstitut,definitive,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Anjou,acajou,rue Joubert,Jouflroy,Jouffroy,journce,passage Jouflroy,jou,toujoursl,,,,,,,,,,,,,,,,,,,,,,,
194,rue Paradis-Poissonnibre,Poissonniere,Poisson-,Poissonnibre,bannibres,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,mune,Melun,Unlustre,etaitune,etune,brune,supportailune,lune,forlune,,,,,,,,,,,,,,,,,,,,,,,
196,Havre,au Havre,du Havre,gare du Havre,llavre,navre,Avrt,,,,,,,,,,,,,,,,,,,,,,,,,
197,Pellerin,Pollerin,serin-L,celebrite,ellerin,Poellerin,,,,,,,,,,,,,,,,,,,,,,,,,,
198,sinthe,aeo,Theodore,dme du Pantheon,Panthon,Pantheon,,,,,,,,,,,,,,,,,,,,,,,,,,
199,pauvrejeune,nuvre,Huvre,zhef-d'euvre,euvre,sevre,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Vincennes,rue Vivienne,aulgrienne,ancienne176,Vivienne,Letonnemnent,Vienne,,,,,,,,,,,,,,,,,,,,,,,,,
201,Italienne,d'Italie,l'Italie,Californie,Alieu,Italie,Italiens,,,,,,,,,,,,,,,,,,,,,,,,,
202,Ro-,Iiront,lironie,pont Royal,Ironcrent,Dupont,affranchiront,frontire du kRhin,Iront,,,,,,,,,,,,,,,,,,,,,,,
203,blama,rclama,dclara,m-,claira,Ilammes,chuclola,la142,glacee,lacloche,Las,Laclam-,,,,,,,,,,,,,,,,,,,,
204,ecrans,Orleans,Orlans,Mormans,porlail,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Bugcaud,le bulfet,le Bugcaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"tioi
Fe",-  Moi,Pitie,Imoi,moitie,tioi,Poitiers,lamitie,,,,,,,,,,,,,,,,,,,,,,,,
207,reveni,Sainte-Genevieve,vengence;-,Geneve,Eugene,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Provi-,"rue
le Provence",Avide,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,plcein,tablcaux,ulcools,plalcs,Lc,lc,,,,,,,,,,,,,,,,,,,,,,,,,,
210,jura,crpu,Pur,Puys,guipure,Puris,,,,,,,,,,,,,,,,,,,,,,,,,,
211,huil,-  Ouil,luil,seuil du boudoir,Fouquier-Tinville,bouillard,Drouillard,broussuilles,Ouil,Oui,e,,,,,,,,,,,,,,,,,,,,,
212,Le Citoyen,moyenl,Benedicite,Moyens,Citoyen,Le Citoyen epilogua,Voyait,Citoyen etonne,Citoyens,,,,,,,,,,,,,,,,,,,,,,,
213,A6,Dcux,Dcs,cxcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,elfraya,A Bray,Bray,ebranlie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Suresne,systmnes,IEst,-  Cest,nglo-fSaxonnes,-  Est,Ineuves,Cestune,Comines,Nest,Mostaganem,homnes,restc,domestiqucs,,,,,,,,,,,,,,,,,,
216,Etretat,lEtat,Etatl,At,proletariat,atalogue,et6e,Atala,matu,Catau,Montataire,kEtat,"E
tat",Etat,"etait136
L",Letat,,,,,,,,,,,,,,,,
217,AIin,Comaing,Mai-,maine,"se-
maine",mnains,Amcricains,Bouttevilain,"sc-
maine",ain,Lorraine,Fontainebleau,cerains,,,,,,,,,,,,,,,,,,,
218,baionnetles,outle,nu-tle,Etle,Isle,ttle,decoraitles,pele-mtle,tle,Toutle,,,,,,,,,,,,,,,,,,,,,,
219,0uX.,A gcnoux,Mrnoux,Pidoux,Arn0ux,noux,lArnoux.-.7I,Arnoux,"Mme
Arnoux",Arnou,Arntu,Arnouxl,,,,,,,,,,,,,,,,,,,,
220,"Trois-
rbres-Provencaux",troisime,"procbs-ver-
ul",croisales,Trois-Marics,troisiime,Troisibme,Iois,Cvroiz,Trocadro,Trois-Frres-Provencaux.-,Froissard,Trois-,Magis-,rue des Irois-llois,,,,,,,,,,,,,,,,,
221,collres-forts,n0lres,pllre,dressce,relectoire,ex-pre-,Presi-,colre,apres la bire,Svres,Prends,Presles,reverbresL,prelres,aulres,Pressel,Vepres,,,,,,,,,,,,,,,
222,Soci4ete,Societe,societc,"Societe des Fa-
milles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Boulogne,bois de Bologne,bour de basque,kaolin de Bretagne,bois de Boulogne,dCcbarque  Boulogne,,,,,,,,,,,,,,,,,,,,,,,,,,
224,.l,.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,bibicle,tibde,Tibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,cte-l,bcte,ctzx,tctc,ct,jctit,,,,,,,,,,,,,,,,,,,,,,,,,,
227,h Martinon,Martinon,Lnmartine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,rue Fromanteau,Fromanteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Tournez,ldternelle,la Tournelle,Letourncur,"doute?n
-  Pas du tout l elle est honnete",elfrne,Tournelle,,,,,,,,,,,,,,,,,,,,,,,,,
230,iaon cte  c0te,J'ai ete,Cite,htel,tempete,tetes,bete-lh,secousses de tete,qutete,tete-a-tete,peut-tetre,Maternite,lachete,nete,hochantla tete,bete,h0tel,nu-tete,Angleterre,as achete,tete,tetel,Iratevnite,.;;te,Chitelet,,,,,,,
231,Regim-,egimbart,lRegimbart,legimburt,Regimbart,Regimbartl,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Allard,rd,Regardez,Garde-Meuble,chicards,Gaspardo,Gardes,Niagara,regardit,gard,Savoyard,,,,,,,,,,,,,,,,,,,,,
233,mont lescalicr,Grammont,Pont-Neuf,monl1e,Montagne,pont de Charenton,Aspremont,Montebello,A-t-On,Montereau,Ponts,Mont-,le Pont-Neuf,"Mont-
charron",,,,,,,,,,,,,,,,,,
234,AIfaires-Etrangeres,avaitrecu,proletaire,ngres,AIfaires-Etrangres,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,rue de Cloiseul,rue de Richelieu,rue de Choisceul,rue de Chabrol,rue de Clery,Choiseul,"rue de
Choiseul",rue de Choiseul,rue de Valois,,,,,,,,,,,,,,,,,,,,,,,
236,marquede,equel,piquees,lquelle,Bouquet-,ctrusques,pre Roque,Quelqtutes,oque,quell,Turque,Quelqt,Quelqucfois,Esthtique,uelquefois,fabriquelo,legiaques,Quelqu,Quels,uuquel,juqu',Quelquefois,Rque,frequen,pre Hoque,polytcchnique,Parquet,Quelquelois,Quelque,ctsques,Belgique,Quelquun
237,Naples,Temple,cenltuple,Plazot,Peuple,ple,pcuple,,,,,,,,,,,,,,,,,,,,,,,,,
238,pcrsonne,St personne,sonnelte,-  Personnel,"chapeletsln
-  Pas",,,,,,,,,,,,,,,,,,,,,,,,,,,
239,cblouie,Vlour,lourdes,veloursl,oulr,Mloulin-Rouge,Loure,lout,Loulou,roulte,Bouloi,,,,,,,,,,,,,,,,,,,,,
240,"Mlme de
taiel",Delmar,Deloin,Delm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Cisy 2,precise,Cisy?n,ciseax,Cisy,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,hasta,Castilles !,lBastille,place de la Bastille,tille,fastilieuse,vtillesl A,Bastille,,,,,,,,,,,,,,,,,,,,,,,,
243,nU C,nudl,EnUCA,EnUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,lithographiecel-bre,aec,la piece,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Champ-de-Mars,Champ de Mars,"Champ de
Iars","Champ
e MIars",Champ de Iars,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Ton,lDonc,Donc,Mondor,donc?n,dontj',Meudon,gueridon,Don,ldont,,,,,,,,,,,,,,,,,,,,,,
247,EncATI0N,DUcATI0N,CA TI0N,iEncATI0N,EcATI0N,TI0N,I00,nUCAT10N,EUcATI0N,"dortoir,18
L' i:UCATI0N",EnDUCATI0N,UCcATI0N,EnDUcATI0N,UcATI0N,fncATI0N,,,,,,,,,,,,,,,,,
248,boulevard Saint-Denis,boulevrd,boulevards des Gobelins,l3,Moulevard,boulevard sen,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Molibre,dcembre,misre,civibre,lumikre,cachemire,Premibres,prcmire,premibre,Ministre,,,,,,,,,,,,,,,,,,,,,,
250,Ciu-.lars,Orsay,perse,rs do,trs,Alrs,corset,rs,,,,,,,,,,,,,,,,,,,,,,,,
251,lologne,IPologne,Bologne,la Pologne,Pologne,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Lembarras,Irayante,oulrageante,Grange-Batelire,Liban,Balandard,Bacchante,Barante,Quarante,Lara,,,,,,,,,,,,,,,,,,,,,,
253,Sauvagcsse,Femnme-Sauvage,Sauvagcsse avit,Osage,eme-Sauvage,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,t0t. n,t0t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Privilge,Propriete,comprilt,tenailt,prolilt,prilt,,,,,,,,,,,,,,,,,,,,,,,,,,
256,lBoheme,boheme,Boheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Forchambeaux,Ft,Ft Forchambeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Chantilly,IL,Billy,Ilyde,Filly,Andilly,Chailly,Ily,Neuilly,,,,,,,,,,,,,,,,,,,,,,,
259,cpagne,pagnie,l'Espagne,musee espagnol,pagnon,d Espagne,d'Espagne,Espagnolet,coipagnie,Espagne,,,,,,,,,,,,,,,,,,,,,,
260,Morelly,rcelle,Fortelle,mele,Celles,el l,velle,El,Mrelle,Siele,el,Celle-lh,Celles-lh,Elloe,ellet,Miclel,clle avuit reluse,Diablel,delend,celle-lh,poele,Bagatelle,pele-mele,perpctuelle,Ellel,A Elbeuf,,,,,,
261,Rosa-,Pa-,Ga-,l va-t',Ma-,Ita-,A-aA,A-,,,,,,,,,,,,,,,,,,,,,,,,
262,rue de Laval,rue Tronchet,rue de l'Empereur,rue de la Ferme,Cygne de la Cvroiz,lidolatrie imbecile del',"tic-tac de la
cnlule",vtue de nankin,seuil de la lorette,pont de la Boucherie,Ohe l,place de la Concorde,rue de la Paix,place de la Bourse,ceudie e Ioe,rue de l'Arcade,rue de la Ferme ?,rue de Rivoli,sphre de la salle,Arc de triomphe un cheval mort,"au-
tre c0te de la table",rue de la Ferme et de la rue Tronchet,blonde l,,,,,,,,,
263,musee,usl,ahus,V0us,Vnus,Russie,us,,,,,,,,,,,,,,,,,,,,,,,,,
264,I72,Desluuriers,h Deslau-,Deslauricrs,Deslau-,Decslauriers,bDeslauriers,Deslauriers,,,,,,,,,,,,,,,,,,,,,,,,
265,mutineriec,Catlerine,Cautherine,Athee,Catherine,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,par-dessus lahaie,Ar-,ar-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Ilpublique,Rpublique,Repnblique,lRepublique,Republiquel,Republique,,,,,,,,,,,,,,,,,,,,,,,,,,
