cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
221,rue de la Harpe,hôtel de la rue Tronchet,rue de la Paix,Art et de la Nature !,rue Tronchet,rue de la Ferme,statue de la Liberté,bêtise de la Ligne,ferme de Presles,"la der-f
nière lettre du mot",seuil de la lorette,pont de la Boucherie,rue de la Ferme et de la rue Tronchet,,,,,,,,,,,,,,,
222,causér,AussI,Muséum,Vénus,Vous,saus,Injustice,us,,,,,,,,,,,,,,,,,,,,
223,Dunod,Melun,punch,Unité,Etun,"di

Un",uN,,,,,,,,,,,,,,,,,,,,,
224,Allard,falbalast,Balandard,Balaruc,,,,,,,,,,,,,,,,,,,,,,,,
225,léclara,Hébés,héclara,,,,,,,,,,,,,,,,,,,,,,,,,
226,Avez,Savigny,Savez,,,,,,,,,,,,,,,,,,,,,,,,,
227,"J 
 AH 
 
 J 
 

L ÉDUCATION","J 
   
   
 
 

90","C
 AH 
 
 J 
 
 
 
 
 J 
   
 
 
 
 
 
 
 J 
 
 X 
 
 J 
 
 

134","AH 
 
 
 
 J 
 X 
 
 J 
 AH 
 
 
 J 
 
 J 
   
   
 
 

rosettes","S
   
      
 
 AH 
 
 J 
 
 AH","8

 AH 
 
 
 
 
 J 
   
 
 J 
 AH 
 X 
 
 J 
   
   
 
 

90",,,,,,,,,,,,,,,,,,,,,,
228,Frédé-,Frédéricnew,Frédéricæ,Frédérie,Frédécic,-Ærédéric,Frédé-2,Frédéric,,,,,,,,,,,,,,,,,,,,
229,Hydre,s’étreindre,Londres,Reynolds,Mrdres,Flandres,"S

 m

Dre mg

_",Dre,,,,,,,,,,,,,,,,,,,,
230,Sphinx,le Rhin,Rhin,,,,,,,,,,,,,,,,,,,,,,,,,
231,sais,Mildais,Maisait,Mai-,aimais,Avais L,Maison,Marseillais,Mably,maiS,,,,,,,,,,,,,,,,,,
232,Unindustriel,Art éndustriel,Artindustriel,Art industriel,,,,,,,,,,,,,,,,,,,,,,,,
233,Chambrion,Forchambeaux,Mchambre,Chambord,Chambre des députés,Ambigu,seuil de l’antichambre,Antichambre,Lbre,antichambre,Chambres,Chambre,,,,,,,,,,,,,,,,
234,Masselin,æwhasse,Assis,Passe,,,,,,,,,,,,,,,,,,,,,,,,
