cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60
136,"II
I



II
IR
I","I
I

I.","II

I
II
M",".l

II
DE

L
I

LEE


III

i
I
2.A","43 ii

I
E","I

II
III


II
Y",J1,"El

B
I



h E

I
I
I
I1
II
II1

DE

RE

I
MI

I
I



ET

1
IL
A

L

Il


A
M
A
 H



  I


MII","II
I

I
II

II1","II
I

II

1N
.:G","HEE
II

I
L","II

I
aT","I
I

III","I

I
I

Ii 1","II
II
E.

I

I





I.","II

I
LL","H
I

II
I
I

l

I
I



I
II","II

21I
I

.2","H

II

II
I

I

r
II","II
I

I

x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"A

L","E
A

D","2H
A

t","A

D","A

D
1
1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"S
L

I
EFE","I'

I","ii'

I
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Bois-l'ray,"Bois-
Bre",Bois-Brales,Bois-rappel,bois-brul6s,du bois-le,BOis-,Bois-Tach,Bois-Brles,Bois-Bre7,bois-but6s,brave Bois-Ble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,".L

I
z
2.-",x.L,r7-,.L-L,.l,".l

E",.L,L.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,hospitalit6,Julie,Italie,iTalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"IM
i 
E","EEI

E","I

E","E
II

E","N

E",I G,"II

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,appiopiees,alliees,rreceesee-cc;cc;c,EEs,"REESE

E","EEs

HGI",- Yankees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"II

I
I
I","EI

I
IL","N

I

i
5
R","D

I
aY
Ih

I",L,".E

I
I
 r T
r-cela5-F-F","I

I
I.
I
I","I

I
t
L


N","I

I
II","I

I
i","I

I
I
l","I

I
I","I

i
I","I
I


I
K
Hi
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Rameau-,Menu-d'O,Rameau-d'Or,hameau-d'O,Rameau-d'S,Rameau-d',rAmeau-d'O,rAmeau-d'Or,Rameau-d'O,leau-d'Or,Rames-d'O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,¬¬,loyaut6,Haut,R,cruaut,loyaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,E7,faix,YI,faire7,Parfait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,LE6AlL,Malleval,paallele,halles,Allehany,- Halal,alluma,Alle,L.aLL,Allez allez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Iv,LIv,LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,teni,Venez,veni,Venise,"veni
- A",Revenons,beni,denise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Iatigues,guer-,"2-,-GiGU-G",Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"F

U


u",parc du chteau,cap du Chat,AU CHATEAU,chateau de Malevil,au Havre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,by God,aWA,gonfl,Wagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"I
I




L.I

E","II

l","I


L","RI

l
M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Aewerccr-,Prc,rFF3r;(Frc,crP-erc r;-,Merci,rc,- Grce,percut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,axa;:E,"E
L","HR

I","HR

I:E
DE
L

a

g","LI

H
DE
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Europe,delicatesse des Europeens,Europeens,europe,lEuropeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,haron Armand,grace,gr,Amand,gand,Grand,brandir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,malgre,alger,Algonquins,Malgre,Malgr,Hidalgo,malte,LG,"LG
maL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"I
12I
L","W
L","I
M","II

T
L
I
LI","I
L","I
L
lE
C
Aa","I
L
S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,la Riviere,frontiere,"PRIVIL
-",Riviere,- Arriere,IVIERNE,"RIVIEnE
La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Es-la,-L,s-3,s-r,s-L,Ou'as-lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,notre cote?1,extreme,samaltresse,JI,tre,Montreal,Centres,lectrifi,gre,Titres,Tre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Z
-
A","I
-
188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,.A2,.aT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Iouha-,Iouha-Hand6,loua-Hande,Iouda-VIande,Mouha-Hande,Hande,D,louga-Hande,Iouha-Hande,Iouha-lande,Iouha,MIkha-Hande,Joua-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,d'Espagne,IY,besogne,espagne,Espagnol,l'espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,BL-,Il-,L-,ULL-L,GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,IM,"IM,1
H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,teignit les torches,Lhches,marne,Marcher,Marches armoricaines,Marches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"R
I","E
Is","M
I","H
I","E
I","L

E
II","A' 
t

DE
H

IGE
SUI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"E
N","A
D","A
N","S

l
A
M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,r1l,R1V1LE,SURPR1SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Ehl,paule,lEh,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,- Ariverons,Arrive,arrives7,Arrives,Rives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,jura,i,verai,jurerais,ignorais,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1(0,chalutier du proscrit.l,Pros-,moscou,Proscrit-,Proscrit,Prosoit,Proscrit.-,Le Proscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"R

P
T","L P
LL","I
 P
LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,eC01e,c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,It11,t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,repliqua Angeles,Angeles,- Angeles,ANGELES,angeles,Angela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,C1.-,c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Ii-,iiicceiriy;e-,GIIFIROY,LIi,"II'
1I


M",MII,IIR,e:-r-les-Ziiciiiaii,-re-5iiisiLLsi,HII,II,Iil,SII,Eetiiiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Ih,anxiete,i arrete,263,etendus,repete,tete,dilficulteset,sete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Monongahela,g3i,Manangahela,Manongahela,Mlanonghahela,Manongohela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,C'0taient,A bientot,Bientot,Totem,bientot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Mort,Nord,Or,Lignorez,New-York,born,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,lExcellenll,luuelle,selle,Celles-ei,ollert,BELLE IW1iRE,LA HELLlE HR1VILlE,LA HELLlE,Telles,lle,R3ELLE,ELLe,ELle,libell,LLE-LLs,BIELLE,mollet,Quelles,BElLE II1EnE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,caractee,grinca,Cause,benfica,Caen,Ca,ca,saecades,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Visages-Les,Visage,Visages-Pales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Eau-Jaune,TrOuve,Nouveau-,"Nouveau-

I.1
1
I
A
I
M




I

LA BELLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Dit,LItt,Pittsburg,Itt,TIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,amiti6,Fixant,soci6t,Tuant,anti6,Anticorps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,.--,L.zR,"--g,.s-I.-r",.-2,L.--,de'---m-L.-r-.L.--,L.LL.--,.-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,le tour,Coulon,tournai,Poitou,toul,toldos,oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"WMLR
HI",WMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Belle-TIrelire,notres Belle-TIrelire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,abb Colmans,colons.-,.,J',Colmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,fense,Penserez,smolensk,Tiens,lentz,lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,teil,Agile,aussilongl,ILA,Il3,ILIY,IL,NEIl,IIl,Sicile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,AE,ssAeeia5-L,nzz:35-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,lesFrangais,Faneais,Fugais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Renversant,Versailles,vers6s,Broussailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Louisiane,diane,diana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,MI,senior Plasmide,Plasmide Senado de Bia y Cardio,Plasmide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Aigle-Volant,1'gle-Volant,Aigle-Volt,Aigle-Volant roula,1'Aigle-Volant,L'Aigle-Volont,L'Aigle,M,l'Aigle-Volant,L'Aigle-Volant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Alos,Jerusalem,lout,LOups,salou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Och,chalutier,Chichimeques,a-lECh,"CH

e2L.
x
-
r",chine,echoue,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,- Heiu,cupidit,"hEIDI
El
DE

H",hEIDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Paris,siege,merisier,Parisien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Loups-Hurons,Huron,Bonsoi,Bisons-Hurons,Hurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,z-7,z-L.,.-Z-,z-,ra-aZ-iaaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,LA-::c,Lovelace,vacue,Placee,lac lEri,chine entrelacees,Enlaces,Clar,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,popre,Prends,E,resume,Aupres,Presque aussitot,Comprenait,Apres,resolu,pres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,A%iNVit,Int,LIN,seine,IN,hein,Ouie-Fine,ain,MIn,Cincinnati,foins,Inspire,".ing;:,i",vains,Martinez,Infect,in,Soudain,L1IN,inou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"de
Couleuvre",Couleuvre,malle la Couleuvre,la Couleuvre,La Couleuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"I

I
EEEEEEl",IV1EE,"EEl

HEE","E
I'

EEE",chaumiee,LEE22,spee,EE::Ec,IEEE=,g;gEE-e,Ee-eEeeee,"2L

EE2EZ",-eE-reer,free7,zEEEEE,eeieeie,EE,E:.LEEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Assassiner,Spadassin,Assis,Mississipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Rs,rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Mise-aux-,Royal-Marine,Marigots,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,lors7,Masque,Risque-Tout,Losque,lOrsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,.-------.-,rs.a---.-,"C----ii
ECCl-CGd
7o",L-----1,LL--------,--'1,L---E---L,in----,".-:---,C-",Na---,".-a.=---af
El
E

IEEE","W

I
--:a
---------a",Y---,LAn------:-L,"I
W.
3Gla--",Lt2-e---:-------,E---D  Y,s--,L----,--z--,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l","cesare-ev-err'`r---------------a----------------------

190",LL-ar-------,"F-,----P--,-irE",--------ah,Ext---,"k2--
26",g-----5-,"II
I

III
W

---
-.---------------","1I
II

-----.---",e:----.--------,T'---,e:-----,"P' ``,-
----G--",C.L:.-'---etre,"----1--
gE
r",gi-'--------------------------------------------------,i----s-i----,cr---Prc,L.LL-----,y---------gee-e,.'---;--------c=.-,"t:.---
L",s---=-de,t.----------F-L.a,CCC----------=,me------,C----L.',--------.-,"nn-.---.-----LL,,,.s.---------r-----le",rF---------------rF---------c---=e-crire-c,.reasr''.--3- ---------5--a,"I
A.,
-
300
x---i",cF---------e=,.----------==-===-s==il;5a-g,--=--=---====-5,----,E---:I,Ea--,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l",r-.----L-
224,chame,"oi7
- Damel",Lamende,coStume,Am-,Amel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"P
E
A","P
E
t
I-.-","P
E
t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,baie des Marmousets,hUdson,baie d'Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Yillies,Pilla,"Y

Ill","Ill
II",taillis,Ill,Villages,ILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,- Abandonne-les,K,abandonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,sachem,I5,sachet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,BEI.LE IVOiRE,beto,EI,bei,abeir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Opossum,san,Jan-Pol,Posait,Posant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,tfaconla,Facon,Wacondah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ME-,de-L,ae-¬,i%--i-de-le--,Menne-,E-Gl,e-7,E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,ZIE,vieux,Vienne,H1V1VIE,avie,Vie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Franchement,A,manche,bravo,Blancs,Branche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"II
E","E


I
E.
LI","XI
E
I
ET","LI
S","LI
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,uS,G¬,Z0,nousle,vOuS.,haussa,S,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,BELLE R1YIE,MELLe R1V1ERIE,"AI

LA BELlE RIV1LEUR",BELLE IR1VIVRE,BELLE R1IER,BELLE R1VIVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Avez,savez-vous7,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,iiiiii’,"U
III","aI
II
IIII","II
-'","E
I

M
IIIII","II
IIlIII
III","I
IIII","u5
L
I
aa
IIILLE
L","IIIIIl
II

IIi
I
I
LIL
I
ET","II
E

I
IIII","IlEI
E
ET
DE
L
UE
IIIIY","I
H.
2R
---a-

IL
III

aI","IIIIIl
II

IIi
I
I","W
III
III","IIIIIIIIIIIIIII

H
-


I
II
II
HI
E",IIIII,".III
II","II
III","I
I
Et
IV
IIII","MI

IAl
IIII

=FI
II","II
fleIk'
eD
4","II
IIII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
