cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64
117,w`zxmnecec,IJ,Cecije,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,resume,popre,Presque aussitot,Comprenait,pres,Aupres,Prends,Apres,resolu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,lEuropeens,europe,Europeens,Europe,delicatesse des Europeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"2L

EE2EZ",-eE-reer,EE::Ec,- Yankees,IEEE=,caractee,"E
I'

EEE","EEI

E",zEEEEE,Eetiiiee,Ee-eEeeee,EEs,"EEl

HEE",E:.LEEEE,".-a.=---af
El
E

IEEE",IV1EE,EE,"I

I
EEEEEEl",LEE22,eeieeie,"EEs

HGI",spee,free7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,.'ardente,Consentez,Conteneur,- Tenez,maintenant7,contentez,- Completement,mantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Renard-Bleu,Le Renard-Bleu,Renard-Blou,Le Rend-bLeu,Renard-,rEnard-Bleu,Renard-Ble,Le Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,ae-¬,Menne-,g;gEE-e,e-7,E-Gl,ME-,S',E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Lan crmonie,ZIE,Nieux,chitaignie,birmanie,crmonie,siege,NI,NiE,garnier,gcnie,- Reproduction nierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,C1.-,c1,a.-W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,SH,Gzrt,Rapporte,apport6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"P
E
t","HR

I:E
DE
L

a

g","I
E
EEE","E
N","zZ
E

I","E
E","H
E
D
FI","H
E","P
E
A","XI
E
I
ET","2E
E","E
E
E","Is
Es
e
’il
¬
J
eoene
vie
vie
pape","IlEI
E
ET
DE
L
UE
IIIIY","E
E
EN
EEE","E
E
E
E","P
E
t
I-.-","S

E
E","A' 
t

DE
H

IGE
SUI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,E2-,.2-,"k2--
26",".2-
-
U
2


E",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,regardez le soleil,soleil,souple,gand soleil,dole,desole,Le soleil,le soldat',role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Albion,Ioten,Ohio,Seduction,mediocre,io,Ioi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,ra-aZ-iaaf,AA,.xLzeAAk,aaa-r:- cCZCZL,Aa-AP4,Aa,aA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,LOups,Eeoutez,Louisiane,-1Louis,lout,salou,sansdoute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Asie,Mississipi,aussilongl,Spadassin,Rassure,Ln,V8,Assis,Assassiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,- Curieux,rieur,Furieuse,jura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,- Suis,Ennui-a,SUI,"9

UI",.Puis,guiers,UI,hG,lui7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Iv,arrives7,- Ariverons,Marches armoricaines,Arrive,Arrives,Rives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Pace,Accepte,Acceptez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Canadienne,Canada,Canadiens,Le Canadienjelta,Canadien,diana,Cana-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,MB,accables,"diables7
- Plutot",diables7,Blancs,Semblables,Instables,Faiblesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,besogne,Espagnol,espagne,d'Espagne,l'espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"El

B",HEl,"El

l
E",jela,Amel,delhi,Quels,"HEl
I",el,El,Tels,Z0,helas1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Revenons,Venez,"veni
- A",teni,Enveloppe,beni,vecu,Venise,veni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,.Gi,.g-c,.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Branche,cher,Lhches,chef7,lche,tche,Cher,cher-,Riche,Marcher,chevaux7 Cependant,sachet,Cherche,Couche,manche,Marches,sachem,Cherie,HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,KI,metz,"mET
R

KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"A

L","E
A

D","2H
A

t","A

D
1
1","A

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Manangahela,Manongohela,Monongahela,Manongahela,Mlanonghahela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Kouba-lande,Kouba-Hand6,Kouba,Kouba-Hande,A-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,r7-,-7-.--,a-.-,Le.-.-.ux.goth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Cause,meuse,haussa,nousle,uS,vOuS.,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,GL,Aigle-Volant,L'Aigle,Aigle-Volt,L'Aigle-Volont,Aigle-Volant roula,1'gle-Volant,l'Aigle-Volant,1'Aigle-Volant,z=,L'Aigle-Volant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,BEI.LE IVOiRE,Belle-TIrelire,5I,BELLE IR1VIVRE,BELLE R1VIVRE,BELLE IW1iRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,H.LILL,Eparpille,Veuillez,ma lille,taillis,Camilleavec,li’lille,Sicile,Lile,Agile,Castille,lille,lIlle,Yillies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"II
II
E.

I

I





I.","II

I
III
Y


SS","I

I
I

Ii 1","II
I

II

1N
.:G","II

I
I
I","I

i
I","I
I

III","H
I

II
I
I

l

I
I



I
II","I

I
i","A

I
1

II
II","I

I
I","II

21I
I

.2","II

I
aT","II
I

I

x","H

II

II
I

I

r
II","I

II
III


II
Y","II'
II
II

I","EI

I
IL","II
I
II 
I1",".l

II
DE

L
I

LEE


III

i
I
2.A","I

I
I
l","II

I
II
M","Nouveau-

I.1
1
I
A
I
M




I

LA BELLE","D

I
aY
Ih

I","S
 E

PAR

L

I.
I
III


SI
A","43 ii

I
E","H

II

sI
B","I
I

I.","II
II
II 
IA","E

II
IMI","ii'

I
E","I

I
II","HEE
II

I
L","El

B
I



h E

I
I
I
I1
II
II1

DE

RE

I
MI

I
I



ET

1
IL
A

L

Il


A
M
A
 H



  I


MII","I
H.
2R
---a-

IL
III

aI","II
I

I
II

II1","II

I
LL",A,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,".,L",".,.3-","c,-",".,-",".,-::Y'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,axa;:E,GIIFIROY,GEIR,SiRI,Dire,iir--,Inspire,nir,"I'
IR

N1

E",Ir,abeir,IIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,coStume,CONTRECOEUR,Reconnue,Contrecur,Contrecoeur,Contre-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,abb Colmans,Colmans,colons.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,desert,severe,Serves,Observez,miseres,reserve,cesSeront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,meritee,Merci,Parisien,II1ERIE,galerie',Terme,Permet,merisier,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,J1,"Z
-
A",i-,"P-- -
I","I1 -
I-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,".E

I
I
 r T
r-cela5-F-F","P,-F",-F,Ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,ge,Belge,Pelage,Agel,Visage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,E;.,n1,"L,;.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,- M',abandonn,- Jonesle,- Abandonne-les,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Ill,Jullouville,Villages,Il3,MW,"Ill
II",IL,ILA,"Y

Ill",.muraIlLe1LL,ILL,Pilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"fRancais7
- Oui",Francais,Franais,lesFrangais,fray6,francais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,iiicceiriy;e-,"II
E

I
IIII","aI
II
IIII","HEE

III
ULN","II
I
III
III",SII,II,"IIIIIl
II

IIi
I
I","II
III","II
fleIk'
eD
4","II
iII
II",IIl,".III
II","III

I
I
III",iiiiii’,"II
-'","IIIIIIIIIIIIIII

H
-


I
II
II
HI
E","N 

III
II
2i","II
E",Iil,-re-5iiisiLLsi,"I
IIII","II
II",HII,MII,Ii-,"I
III
H
I

III
III
II
l
III","U
III","II
IIlIII
III","H

III
HI",O,"II
IIII","W
III
III",IIIII,"IIIIIl
II

IIi
I
I
LIL
I
ET",e:-r-les-Ziiciiiaii,"E
I

M
IIIII",,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,gand,Amand,grace,I,brandir,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Marigots,Mise-aux-,i,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Pa-,aS,Lh,e’,- Pas,As,pas7,passee,Pas,Bas,"W
A pas
l


E.
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,T,l'Amerique,lHistorique,briquet,Americains,belgique,trafiquei,Mexique,Amerique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,echoue,chalutier,Chichimeques,"CH

e2L.
x
-
r",a-lECh,sur-le-champ,chame,Och,chaumiee,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"LI

H
DE
L","L P
LL","I
 P
LI","R

P
T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,toil,Vois,Voili,savoir7,voila,Voil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Opossum,san,Posait,Jan-Pol,Posant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,mone,Tonne,rotondo,garonne,L6on,Sonne,Washington,tone,Notons,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,- Heiu,bei,N,NEIl,hEIDI,ssAeeia5-L,teil,EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,cumbree,gre,scabrex,breche,9i,BR,bravo,Bre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,chine entrelacees,"fleuve
Saint-Laurent",Saint-lAurent,Saut de Montmorency,Le Saint-Laurent,Saint-Laurent,terre Sainte,le Saint-Laurent,fleuve Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,roi de france,roi de France,bete france,Sence,Point de diffrence,Nonce,N¬,la France,france,de France,"beto
france",France,de france,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,IB,Ilibustier,tibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,cccp,cc===z,rreceesee-cc;cc;c,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,GEL11FROY,GEFROY,GEI1FROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Fauves,cac:=-esa-e,teignit les torches,Ves,Est,lugubes,Sexes,Es-tu fou,Parties,La9ues,ESt-ce,hesita,Visages-Pales,leves,est-A,Visages-Les,ILes,Tes,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
