cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43
183.0,z-L.,.-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.0,Prc,cr---Prc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.0,"E
I
I

R","I
I
L",".L.

I
I
DE-","I
I
i1
I
LI","E

I
I
I
I1","I
I
I","H
I
I
A","P
I
W","I
I
I




i1
I
I
I

I","I'
t.
I
I
I
I
I
I","HE
I
I
l","I
I
I
L","I
I
Ma
 IH","I
I
I
I","IER
I
U
I
II","I
I
E.","RI
I
F","I
I
I
.I","I
I
H. 
I","KI
I
1",".:AI
i
I","I
I
t","II
I
I
I
I","I
I
II

I
H","asIE

I

T
I
I
IRG","I
I
t' 
h","I
I
I
I
I","I
I
II",,,,,,,,,,,,,,,,
186.0,"S

M",cap des Monts-Peles,Saut de Montmorency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187.0,teignit les torches,Lhches,marne,Marcher,Marches armoricaines,Marches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188.0,.--,"k2--
26","t:.---
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.0,"E
I'

EEE","E
Is","E
I","XI
E
I
ET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.0,"I

I
EEEEEEl",IEEE=,Ee-eEeeee,zEEEEE,E:.LEEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.0,s--,LIi,-de,s---=-de,--=--=---====-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.0,- Grce,- Gueusard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.0,ghana,Alleghanys,rivieres Alleghany,monts Alleghanys,Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.0,appiopiees,rreceesee-cc;cc;c,EEs,"REESE

E","EEs

HGI",- Yankees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.0,Arrive,arrives7,Arrives,Rives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.0,Maleval,samaltresse,malte,"LG
maL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.0,chalutier du proscrit.l,Pros-,Proscrit-,Proscrit,Prosoit,Proscrit.-,Le Proscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.0,rale-www- terre+kkisaisi,"2H
A

t",A terre,terre Sainte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.0,chaumiee,Tiens,miens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,Mexique,belgique,Quebec,larzac celtique,lHistorique,briquet,trafiquei,Marque,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.0,anxiete,i arrete,etendus,repete,tete,sete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.0,Monongahela,Manangahela,Manongahela,Mlanonghahela,Manongohela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.0,Dej,Dej midi,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.0,lExcellenll,luuelle,selle,Celles-ei,Telles,R3ELLE,ELLe,ELle,BIELLE,Quelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.0,opinion2,opiniit6ment,frontiere,"opinion2
- Pas entierement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.0,pliska,whiskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.0,tinais,Tinais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.0,LItt,Pittsburg,Itt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209.0,GIIFIROY,lectrifi,Infect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.0,le tour,tournai,Poitou,toul,oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211.0,Americains,ain,foins,Inspire,vains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.0,aussilongl,Cause,haussa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.0,Dire,Belle-TIrelire,notres Belle-TIrelire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.0,abb Colmans,Colmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.0,smolensk,lentz,lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0,besogne,maubeuge,lEh,lugubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.0,2P-LL,LLE-LLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.0,".ing;:,i",Washington,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.0,EDEl,cc===z,delhi,fidele,sele,Aide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0,I.1,"I
M",Nouveau-,"F

I

2","Nouveau-

I.1
1
I
A
I
M




I

LA BELLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.0,Yillies,Pilla,-re-5iiisiLLsi,"Y

Ill","Ill
II",taillis,Ill,Villages,ILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.0,parc de la comtesse,"II
vOYAGE DE NU1I",comtesse de Melvalle,"IS

LU",comtesse de Maleval,comtesse de MIa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.0,lesFrangais,Fugais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.0,Renversant,Versailles,vers6s,Broussailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.0,"I
12I
L","II

T
L
I
LI","I
L","I
L
lE
C
Aa","I
L
S","I'
II
l
R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.0,diane,diana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.0,"II'
1I


M","I'
IR

N1

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.0,pyramides de Cholula,senior Plasmide,Plasmide Senado de Bia y Cardio,Plasmide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.0,Aigle-Volant,1'gle-Volant,Aigle-Volt,Aigle-Volant roula,1'Aigle-Volant,L'Aigle-Volont,L'Aigle,l'Aigle-Volant,L'Aigle-Volant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.0,Alos,Jerusalem,lout,LOups,salou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231.0,iiiiii’,"IIIII

I&","E
I

M
IIIII","IIIIIl
II

IIi
I
I","IIIIIIIIIIIIIII

H
-


I
II
II
HI
E",IIIII,Eetiiiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.0,"R

P
T","L P
LL","I
 P
LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0,L.--,de'---m-L.-r-.L.--,L.LL.--,LL.:5,L.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.0,pondit Ward,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.0,- Heiu,"hEIDI
El
DE

H",hEIDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.0,Paris,merisier,Parisien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.0,"II

I
I
I","EI

I
IL","N

I

i
5
R","II

I
II
M","I

I
I.
I
I","I

I
t
L


N","I

I
II","I

I
i","I

I
I
l","I

I
I","I

i
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.0,chame,wampums,sur-le-champ,SURPR1SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.0,Con-,Junon-,Albion,stupetaclion,Ion-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,beto,france,fray6,"beto
france",France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.0,Loups-Hurons,- Ariverons,Huron,MIn,Bisons-Hurons,Hurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.0,Lona,Leonal,Leona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,.L-L,ULL-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.0,jurerais,Lignorez,ignorais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.0,fense,Penserez,"N


DE
P2","etat de
defense","A' 
t

DE
H

IGE
SUI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.0,Ocean,de l'Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0,leves,Fauves,Ves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.0,Assassiner,Spadassin,Assis,Mississipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.0,Acceptez,Accepte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,Mise-aux-,Royal-Marine,Marigots,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.0,lors7,Masque,Risque-Tout,Losque,lOrsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.0,"N 

III
II
2i","I
II
I","II
E","II
I



II
IR
I","E

II
IMI","II
II","R
I","II
II
II
f
1","IJ
ll
I


y- I
III
I
iI
R
II
II
LA BELLE","II
-'","1I
II
I

1
I","II
II
II 
IA","II
I
II
I","II
I","A

I
1

II
II","II
II
I","II
II
E.

I

I





I.","A
I
II
II
II1
I
N","II'
II
II

I","II
fleIk'
eD
4",,,,,,,,,,,,,,,,,,,,,,,,
253.0,Ext---,Ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,.-------.-,"C----ii
ECCl-CGd
7o",L-----1,LL--------,L---E---L,in----,"W

I
--:a
---------a",Y---,LAn------:-L,Lt2-e---:-------,E---D  Y,L----,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l","cesare-ev-err'`r---------------a----------------------

190",LL-ar-------,"F-,----P--,-irE",--------ah,g-----5-,"II
I

III
W

---
-.---------------","1I
II

-----.---",e:----.--------,T'---,e:-----,"P' ``,-
----G--","----1--
gE
r",gi-'--------------------------------------------------,i----s-i----,L.LL-----,y---------gee-e,.'---;--------c=.-,t.----------F-L.a,CCC----------=,me------,C----L.',--------.-,"nn-.---.-----LL,,,.s.---------r-----le",rF---------------rF---------c---=e-crire-c,.reasr''.--3- ---------5--a,cF---------e=,.----------==-===-s==il;5a-g,----,E---:I,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l",r-.----L-
255.0,notre cote?1,extreme,C.L:.-'---etre,tre,Centres,Titres,Tre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,"P
E
A","P
E
t
I-.-","P
E
t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0,baie des Marmousets,hUdson,baie d'Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.0,Tonne,garonne,seuil de la maisonnette,Sonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.0,Aewerccr-,crP-erc r;-,Merci,jespere,percut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,rer,guer-,-eE-reer,"--g,.s-I.-r",LEr-L,.-rer-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.0,A LLZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.0,diables7,"diables7
- Plutot",Plut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.0,rideau de verdun,perdula,verai,Verdure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.0,d'Espagne,espagne,Espagnol,l'espagne,EFFeT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0,moyen8,Voyez,Fuyez,Soyez,Croye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.0,"I
I




L.I

E","I
I

I.",".l

II
DE

L
I

LEE


III

i
I
2.A",".E

I
I
 r T
r-cela5-F-F","El

B
I



h E

I
I
I
I1
II
II1

DE

RE

I
MI

I
I



ET

1
IL
A

L

Il


A
M
A
 H



  I


MII","II
I

I
II

II1","II
I

II

1N
.:G","I

I
I

Ii 1","H
I

II
I
I

l

I
I



I
II","II

21I
I

.2","I
I


I
K
Hi
I","II
I

I

x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0,"WMLR
HI",WMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,ILIY,"ILI
I","LI
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0,MII,san,Posait,Posant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,tfaconla,Facon,Wacondah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0,I1ets,II1,II1ERIE,galerie',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.0,GEIR,bei,abeir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.0,vieux,"Is
Es
e
’il
¬
J
eoene
vie
vie
pape",H1V1VIE,avie,Reviendrez,Vie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.0,Franchement,manche,brandir,Branche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.0,Iouda-VIande,Soudain,souple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,LEE22,Tes,faix,faire7,Parfait,- Faites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.0,moscou,congo,Gascon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0,Laisse,Laissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279.0,Iil,IIl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,rs.a---.-,Na---,"I
W.
3Gla--",a-- Hlasl,Ea--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281.0,Avez,savez-vous7,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282.0,born,Accordez,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.0,Visages-Les,Visage,Visages-Pales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284.0,desert na cela,saecades,desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.0,.r.rm-areva.5,Emparer,Clar,declarer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
