cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
171,.CL,Emparer,G,.2-,separes7,repara,eparee,Gsfi,pepare,peparee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Hidalgo,alger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,jurerais,ignorais,Lignorez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,arrives7,Arrive,Arrives,Rives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,che do Villes,Eparpille,Veuillez,LA HELLlE HR1VILlE,Jullouville,Camilleavec,Castille,M. de Villes,.muraIlLe1LL,"u5
L
I
aa
IIILLE
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,profitera-t-il7,Va-t'en,cria-t-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Canadienne,Canada,Canadiens,Le Canadienjelta,Canadien bErger,Canadien,Cana-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"mer

II
I
1","II
I
vI

 U","mer

II
I
1
I","Bl
I
I
II
I","II
I
I.

II

I
II
I","II
I
1A","II
I
M","YI
I","II
I
H
I
I
IIII","N

III
I
I
I","II
I
II 
I1",New-York,"II
I
IL","II
I
I
I.
I.","II
I
Il//IH","II
I
IMA","II
I
A","II
II
I



II

I
I
I
I","II
I
I
I
III
F","II
I
I","II
I
A.

I","II
I
II","II
I
E

E","I
I",,,,,,,,,,,,,,,,,,,,,
179,c.,"E


I
E.
LI",".L

I
z
2.-","S
L

I
EFE","ii'

I
E",CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,jela,Pelage,Agel,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,hesita,hesiter,curiosit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,popre,A7,Presque aussitot,pres,Aupres,Apres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"I
I
Ma
 IH","KI
I
1","I
I
I




i1
I
I
I

I","asIE

I

T
I
I
IRG","I
I
I","I
I
II

I
H","I
I
I
I","I
I
H. 
I","HE
I
I
l","I
I
L",".:AI
i
I","I
I
t' 
h","H
I
I
A","I
I
E.","E

I
I
I
I1","IER
I
U
I
II","E
I
I

R","P
I
W","I
I
i1
I
LI","I
I
I
.I","I
I
I
L",".L.

I
I
DE-","I'
t.
I
I
I
I
I
I","I
I
II","I
I
t","II
I
I
I
I","I
I
I
I
I","RI
I
F",,,,,,,,,,,,,,,,,
184,LAC,Enlaces,chine entrelacees,E-Gl,in,E-,Placee,Lovelace,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Venez,"veni
- A",r7-,MIn,Venise,veni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,9i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6

II
H
H

I","II
H
H","I
H
MG","I
H
-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,IE,Blancs,degualannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Bois-Bre7,bois-but6s,Bois-Brales,Bois-Brles,brave Bois-Ble,born,bois-brul6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"II
I

II

1N
.:G","II
I

I

x","H

II

II
I

I

r
II","I

II
III


II
Y","R
I","I'
IR

N1

E","II
I



II
IR
I","E

II
IMI",Infect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,.--,"k2--
26","t:.---
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"E
A

D","A

D
1
1","A

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Manangahela,Manongohela,Monongahela,Junon-,Manongahela,Mlanonghahela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,alluma,alliees,L.aLL,LE6AlL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,MII,L,".,-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,louga-Hande,Kouba-lande,"E1

G
N
La",Hande,Kouba-Hand6,Kouba,Joua-Hande,Kouba-Hande,loua-Hande,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,GEL11FROY,GIIFIROY,GEFROY,"A
N",Croye,GEI1FROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Es-tu fou,Vois,Vois-tu,hG,Crois-tu,Tais-toil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,rs.a---.-,"E
N",S',-7-.--,a-.-,Le.-.-.ux.goth,7I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Mort,Rapporte,apport6e,IY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,cap du Chat,au Havre,parc du chteau,AU CHATEAU,chateau de Malevil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,tu6s,Poitou,toul,fourr6s,tournai,Pourrez-,le tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,teignit les torches,Marches armoricaines,Marcher,Marches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Con-,congo,Gascon,Considerez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,.-L.,z-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,s-L,Es-la,JI,nir,Ou'as-lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,".,L",CONTRECOEUR,Reconnue,ceurl,Contrecur,Contrecoeur,Montreal,.r-3-r-,Contre-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,abb Colmans,Palma,Colmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,rale-www- terre+kkisaisi,SH,terrass6,Angleterre,"2H
A

t",SiRI,A terre,terre Sainte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,lejeune,lUne,Lejeune,Boune,lune,Eau-Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,- Halal,Ea--,"I
W.
3Gla--","P-- -
I",a-- Hlasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,i Rollon,molie,ollert,mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,bei,GEIR,abeir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,z=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"IM,1
H",Ments,comment7,lentz,Vraiment,opiniit6ment,segment7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Vants,Tuant,Anticorps,Fixant,anti6,mantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,vaudou,lesFrangais,Fugais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ill,taillis,Villages,-re-5iiisiLLsi,"Ill
II","Y

Ill",ILL,Pilla,Yillies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Dej midi,Dej,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Belge,BEI.LE IVOiRE,Belle-TIrelire,notres Belle-TIrelire,libell,BELLE IR1VIVRE,BElLE II1EnE,BELLE IW1iRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,----,".-:---,C-",e:----.--------,gi-'--------------------------------------------------,.-------.-,r-.----L-,rF---------------rF---------c---=e-crire-c,me------,Lt2-e---:-------,LAn------:-L,L.LL-----,.reasr''.--3- ---------5--a,"P' ``,-
----G--",i----s-i----,"cesare-ev-err'`r---------------a----------------------

190","nn-.---.-----LL,,,.s.---------r-----le",.'---;--------c=.-,LL-ar-------,CL:---,--------ah,e:-----,"1I
II

-----.---",LL--------,"C----ii
ECCl-CGd
7o",CCC----------=,L-----1,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l","W

I
--:a
---------a",L----,"F-,----P--,-irE",t.----------F-L.a,"----1--
gE
r",Na---,C----L.',7LL,in----,cF---------e=,.----------==-===-s==il;5a-g,"II
I

III
W

---
-.---------------",T'---,Y---,y---------gee-e,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",g-----5-,--------.-
222,iiicceiriy;e-,"IIIIIl
II

IIi
I
I",Eetiiiee,iiiiii’,"IIIIIIIIIIIIIII

H
-


I
II
II
HI
E","IIIII

I&",IIIII,"E
I

M
IIIII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Wagon,gonfl,Algonquins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,L-,LA-::c,".,-::Y'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Nieux,chitaignie,birmanie,Virginie,NiE,garnier,gcnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,SII,MB,- Pas,L1IN,pas7,i,passee,Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,roi de france,roi de France,"SE

F",".,.3-",bete france,la France,de France,de france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Aide,sele,delhi,x.L,EDEl,fidele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,- Curieux,audacieusemenl,meuse,rieur,Furieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,foins,ain,Americains,Soudain,"m

A",vains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,verai,L2namur,A minuit,Inuimurai,jura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,EE::Ec,II,"fleuve
Saint-Laurent",I.1,Saint-lAurent,E',Gzrt,Le Saint-Laurent,Saint-Laurent,le Saint-Laurent,fleuve Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Accepte,Acceptez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,satnis reponse,repondre,pondit Ward,reponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,B,Aigle-Volant,L'Aigle,Aigle-Volt,L'Aigle-Volont,Aigle-Volant roula,1'gle-Volant,l'Aigle-Volant,1'Aigle-Volant,L'Aigle-Volant,wea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Boucle,Ext---,LIi,Ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,N,.EN,F,"N

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Visages-Pales,Visage,e:-r-les-Ziiciiiaii,Visages-Les,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"2L

EE2EZ",aWA,Er,".l

E","NL


E","L

E
II","W
A pas
l


E.
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,NEIl,Ir,teil,GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,toil,Voili,savoir7,voila,Voil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Opossum,san,Sans-Piste,Posant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,mone,rotondo,- Jonesle,Washington,- E,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"H

A","L P
LL","I
 P
LI","R

P
T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,M,s:--,r7:--,MW,--a,L:--a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"EEI

E",ssAeeia5-L,eeieeie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,E---:I,L---E---L,E---D  Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Ouie-Fine,chine,seine,serpentine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,fray6,beto,france,"beto
france",France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,H,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Espagnol,espagne,d'Espagne,A%iNVit,l'espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,rc,Luy,iTalie,hospitalit6,Julie,Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,- Faites,dilficulteset,Tes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,WMLR,LItt,Pittsburg,Itt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Peaux-louges,rOuges,Peaux-Rouges2,ZIE,Peaux-Rouges epa-,maubeuge,Rouges,Peaux-Rouges,Mise-aux-,Peau-Rouge,Bordeaux,Peaux-rOuges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,-eE-reer,amaree,exageree,Veuiueree,free7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,chteau de Beauregard,A Beauregard,"chateau de
Beauregard",Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,bon7,"N


DE
P2","H

I","etat de
defense","A' 
t

DE
H

IGE
SUI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Louisiane,diana,diane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"E
Is","E
I'

EEE","XI
E
I
ET",BR,A4,"E
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
