cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71
122,Gouvei,Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,gania,Eugênia,Betânia,Agonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Panorama,"Pano-
rama",ripanço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,gerina,Medicina,China,Ensina,Dulcineia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,baça,serra de Alcobaça,Alcobaça,"Brito de
Alcobaça",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Cruz,Cruzes,Delecluze,duzem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Tenho,Ponho,Venho,Junho,Cu,Venha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Praça às Ave-Marias,Praça...,Fumaça,Praça,Praça Nova,Praça às Ave-Marias...,Graça!,pé da Praça,Graça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Sarmento,Mente,"pie-
dosamente",Sol do Poente,Instintivamente,Positivamente,S. Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Amelia-,Júlia,bulialhe,Juliana,Argélia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Vossemecê,Vossa,Nossa,Quorum,Posso,Hossana,missanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Gamacho,pac,pachorra,sorri,borracho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Feirão,Baboseiras,Vaqueira,Gralheira,Vieira,"madre
rodeira","Gra-
lheira",Pimentas da Pojeira,Vira,Beira,bebedeira,praia da Vieira,Brincadeiras,"pri-
meira",Videira,trapeira,Madeira,Pereira,Verdadeira-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bêbeda,Bêbedas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Saavedra,Arcada,Carcavelos,Pesadelos,velos,anasarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Xafredo,cara redonda,hóstia redonda,Credo,acre,rel Azevedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,cabo da faca,cabo dos guarda-chuvas,cabo do Ultramontanismo,cabo dum,cabo de polícia,Sílabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Via-o,Devia-a,Via-Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"CRIME DO PADRE AMARO

Dorme","CRIME DO PADRE AMARO

rabeca",CRIME DO PADRU AMARO,CRIME DO PADRE ANARO,"CRIME DO PADRE AMARO

pássaros",U CRIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Dias","CRIME DO PADRE AMARO

trudes","CRIME DO PADRE AMARO

Aldeola","CRIME DO PADRE AMARO

tas","CRIME DO
PADRE AMARO","CRIME DO PADRE AMARO

mada","CRIME DO PADRE AMARO

mesa","CRIME DO PADRE AMARO
Que João Cabral da Silva Maldonado
Mendonça de Gouveia","CRIME DO PADRE AMARO

Da terrina","CRIME DO PADRE AMARO

cabo","CRIME DO PADRE AMARO

Ta-a",CRIME DO PADRE AMARU,"CRIME PO PADRE AMARO

de couro",CRIME DO PADRE AMARO “,"CRIME DO PADRE AMARO

Queria","CRIME DO PADRE AMARO

sa",CRIME DO PADRE AMAPO,CRIME PO PADRE AMARO,"CRIME D9 PADRE AMARO

reu","CRIME DO PADRE AMARO

do jantar",CRIME DO PADRE AMARO 5,"CRIME DO PADRE AMARO

da Maia","CRIME DO PADRE AMARO

boulevard da Bastilha",CRIME DO PADRE AMARÓ,"CRIME DO PADRE AMARO

lata",CRIME DO PANRE AMARO,"CRIME DO PADRE AMARO

Desprendeu-se","CRIME DO PADRE AMARO

lhas","CRIME DO PADRE AMARO

dade de esposo","CRIME DO PADRE AMARO

de fósforos","CRIME DO PADRE AMARO

padre",CRIME DO PAnRE AMARO,"CRIME DO PADRE AMARO

senhor padre Natário",CRIME DO PADRE AMAEO,"CRIME DO PADRE AMARO

chibatava","CRIME DO PADRE AMARO

nhos","CRIME DO PADRE AMARO

& cabeceira","CRIME DO PADRE AMARO

Atirou-lho","CRIME DO PADRE AMARO

Instintivamente",CRIME DO PADKE AMARO,"OBIME DO PALEE AMARO

Janota","CRIME DO PADRE AMARO

snr",CRIME DO PADRE AMARG,"CRIME DO PADRE AMARO

Chamou","OEIME DO PADRE AMARO

Aconselhou","CRIME DO PADRE AMARO

alta","CRIME DO PADRE AMARO

siasmado",CRIME DO PADEE AMARO,"CRIME DO PADRE AMARO
Saia","CRIME
DO PADRE AMARO",t,"CRIME DO PADRE AMARGO
de Agosto","CRIME -DO PADRE AMARO

Amaro","CRIME DO PADRE AMARO

senhor",CRIME DO PADRE AMAKO,CRiME DO PADRE AMARO,CRIME DO PADRE AMARO,"CRIME DO PADEE AMARO

Amaro",CRIME DO PADRE AMAEG,CRINF DO PADRE AMARO,"CRIME PO PADRE AMARO

 

Tinha","CRIME DO PADRE AMARO

negra","CRIME DO PADRE AMARO

da serra!","CRIME DO PADRE AMARO

cinta","CRIME DO PADRE AMARO

mudeando",CRIME DO PADRE AXARO
141,Madalena,Carvalhosa,vale,Valeu,palerma,alecrim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Política Estrangeira,Jítica,Política,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Reden-,carretão,Arrede,Arrepen-,Oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Nunes,Havanesa,Casa Havanesa,casacão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Abafava,embasbacava,Cavalgadura,Odiava-o,Arfava,Causava,palrava,Dava,Costurava,Estimava,Acumulava,chocalhava,polcava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Distrito,Voz do Distrito,Distrito!,4 Voz do Distrito,REDACTOR da Voz do Distrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Baleia,Leia,Leia Gavantus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Provença,Licença,Doença,Endoenças,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Santo Ilde-
fonso",Santo Antão,Laboranti,boca dum santo,Santo Ambrósio,Santo António,santo,Santo Tirso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Capujá...,Capujá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Salta,Alto,Salte,Jerusalém,Maltês,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,nar,Dominara,Abominava,Dominus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Ande,Mande,Mendes,nandes,Hoc,Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Amêliazinha da S. Joaneira,S. Joaneira!,"Praça pera
casa da S. Joaneira","casa da
S. Joaneira",S. Joa-,S. Joaneira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"pro-
gresso !",Populares,Mártires,Teresas,altares,Buénos-Aires,Reso-,— Resumia,Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Epístola,Custou,Tolices,Brístol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,botica,Amparozinho,Amparo da botica,"Amparo
da botica",Amparo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,jardim do Paço,Jardim de Lázaro,jardim da Estrela,dim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Pároco,Etiópia,pároco,Carocho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Se-
nhor",Mise-,"Mise-
reatur",Miserere,"Mise-
rere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,ourelo,ABBÉ MOURET,MOURET,"L""ABBÉ MOURET",Ourém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Í,sacristão,tristeza,RO,sacristães,Sacrificaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Brito Correia,Creia,Corre,Correia,Correu,rua do Correio,Mur-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Hei-de-lhe,Fale-lhe,Arranja-se-lhe,Dize-lhe,Pode-lhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,sotainas,nas-,tonas,Cas-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,alegre,Vista-,"Vista-
-Alegre",Alegros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,tre Valadares,Valadares,valado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Novaisitos,casa do Novais,bom Novais,Novais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,anda,Anda,Caía-me,Outra-Banda,Tu,Abrasa-me,Anda-me,Suspenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Senhora do Rosário,Nossa Senhora do Rosário,glória do Senhor,Nossa Senhora do Rosário...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Caramba,saragoça,Expirara,arara,Agarrara,Jevaram-na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,É-verdade,Impiedade,Piedade,Senhora da Piedade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Covilhã,Malhão,Hão-de,lhão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Dey,Santo Inácio,Ofício,Bendito,"Santo Inácio!
Bendito",Leia Santo Inácio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,F,Santa da Arregaça,santa da Arregaça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Bois

ois",Coisa,Bois,ig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"cam-
painha",Caminhante,Minha,Saldanhinha,panelinha,palhinha,galinha gorda,travesseirinha,Vinha,Joaninha,Mélinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Persevere,Conversara,Universo,Versalhes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"*
Gansosos",Gansoso,Gansosos,Gan-,Gansosinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,banco da taberna,Liberus,tabernas,Dá-ihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Engraxou,Grandioso,Grande,Grand,4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Cânticos,Cos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Popúlar,Olaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Mata,Temo-la,Matámo-lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,rua dos Condes,Aonde,Condes,Tudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Estrela,Estremoz,Tremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Sim,mir,luvas de casimira,França,Casimira França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Porta de Ouro,em Portugal,"Portu-
gal",Porto,Porta do inferno,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Simpatia,Fatigou,Merati,Beati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,silvas,Saúde,Silvério,bom Silvério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Imaginava,Imaginara,Imagine,Imaginas,Imaginem,Imagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Pompa Espiritual,Brito,Espírito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Belém,"Torre
de Babel",torre gemeu,Torre de Babel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Atharo,faro,rouba,Arouca,Preparou-a,Caro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Maio,Animais,Demais,Caia,Maia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Ninon de Lenclos,Gizia,RE,Onde Leiria,Sé de Leiria,dalizar Leiria,Leiria,Morena de Leiria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Cónego,cóncgo,cónego,"cónego
Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"Pimen-
tel",Cármens,Menino,Ámen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Córrego das Tristes,Moço,Poço das Bentas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ora-,"Sé de
Évora",Távoras,névoa,Évora,Sé de Évora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,aterrado,Inglaterra,"Nunes
Ferral",Sobe,serra,Tertiô,Terra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Religião,cirurgião da câmara,gião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Traste,Teles,Foste,Castelo,Castaldus,"monte do
Castelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Decerto,necessita,Necessitava,Pieguices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Charonte,Nantes,Ponte,Inter-,Ponte Nova,Defronte,Contempias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Passeio Público,Passei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,melha,Esgue-,Esguelhas,Esgueinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Juras,Natureza,tonturas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Vêde-o,Cã,Mau,Pedroso,Guedes,Pede-os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,— Quebrou,!,— Quem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Bonito,Pavonio,Muita,Joanita,Bonita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,lampeão,olkar,Impossibilis,pos-,Raposo,zas,Campos,Campos Elísios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Taborda,Acordara,Engordara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Tesa,Cegonha,Pis,Desavergonhada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Entra,Minta,Vou,Introibo,Sintra,Sinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Parto da Santa Virgem,Virgens,Santa Virgínia,Santa Virgem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Sacke-hands,chapinhando,"apa-
nhando",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,LA,Igrea,Igreja...,Vejam,Tgreja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"pocilga do
Agostinho",Agos-,"Agos-
tinho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,palmas de mártires,Palma,palmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,S. Crisólogo,S. Pascoal Bailão,Pru-,S. Gorislano,S. Luís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Fazes,Arran-,barraca,Marrazes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Cumiada,Jesocupada,Acudam,Damasco,Nadamas,meda macadamizada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Amaru,Ribamar,Amara,AMARU,Amaró,AMARHÚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,lorpa,Mater-doloresa,Flores,Loreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"bom
Marques",Torque-,Vasques,Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Morta,Mor-,Amorável,Difamou,Amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Moravam,KXV,Moral,mausoléu do Morais,Morais,Cabrais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Carlinhos,Minho,Gansozinhos,ombrozinhos,Inglesinhos,Caminho,Godinho,Longuinhos,Godinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Algarve,Feche,Chegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Conhecia-a,Catecismo,Conheci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,mercúrio,córiego,Ofertório,Purgatório,Rio,Osório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,pas-,"pas-
seando","pas-
seiam","pas-
seio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,fauteuil,"LA
FAUTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Gethse-,Ah-—disse.o,Disse-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Lérias,calúmias,Saias,Dias,Augias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Comu-,Comunicado,Uni-,Excomunhão,Comuni-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Hã,Joli,Absolver,Sol,Solidão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"tam-
bém to",Safa,"tam-
bores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Sul,Devem-no,"lem-

bra-te",Fazem-me,Lem-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,—,Vejo,bocejo,Tejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Perguntava-lhe,Ia-lhe,Tai ã Es,Coma-lhe,Bufa-lhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Lethes,Inimigo,Trigoso,Rigoleto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Outono,"Outu-
bro",Jnspector,Doutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Sobre-,Nobres,Pobre Teles,Abre,Pobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Vadios,Podia,Adian-,invadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
