cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
184,Loure,Fnlo,cblouie,"mer
calotte de velours",Vlour,lourdes,Andalouse,lout,toul,Loulou,toulon,Moulin-Rouge,Boulot,,,,,,,,,,,,,,,,,,,,,
185,z:::c,t:::---,c::::::t,z:::::cc-,Ec::::':-,.::,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Allard,lanuit,Fallait,Allait,Fallu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Cisy 2,Cisy?n,Cisy,cida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Somme,Almanach du Commerce,lerins du Commerce,ommne,Merci,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Frederic,Africa,Fred6ric d'ecrire,Frd6ric,Fred6ric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Iln',huil,teil,Il1,oeil,Accueil,Ilot,Corbeil,IIL,IL,narguil,IL1,IIl,,,,,,,,,,,,,,,,,,,,,
191,hasta,fastilieuse,l-bas,Castille !,O,Pastilles,la Bastille,Bastille,,,,,,,,,,,,,,,,,,,,,,,,,,
192,damas de laine brune,lointaine;-,Mai-,"sc-
maine",maine,Lorraine,"se-
maine",Fontainebleau,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Restez,thbeses,Fixes,Artistes,noy6es,p1es-,investi0,Lestin,"pain l
-  Est",ESt-ce,St,salle-des-Istes,-  Est,Est,Esthtique,Alpes,,,,,,,,,,,,,,,,,,
194,rue Descartes,rue de Laval,rue Souflot,rue de Chabrol,rue de Clerc,rue de l'Empereur,rue Dauphine,rue d',rue de Breda,rue Drouot,rue de Richelieu,rue de Marbeuf,rue de Fleurus,rue d'Anjou,rue de l'Arcade,rue Duphot,mero pueblo del mundo,rue de Rivoli,bour de basque,rue Jacob,rue de,rue de Valois,rue des e Mondes,rue du Bac,,,,,,,,,,
195,farades regulibres des maisons,Mystres de paris,depute,rena de,ferme de Presles,Chambre des depules,Chambre des deputes,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,aec,la piece,lithographiecel-bre,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,prolites-cn,Oi es-tu,lip-froid,Provinciaux,"Trois-Frres-Provinciaux.-
Le Citoyen",Trois-Frres-Provinciaux.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Greenwald,lgre,Malgre,J',ngres,La Fougre,gre,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Bourbonnais,Sorbonne,fort honnete,-  Personnel,orne,Frisonne,sorbonne,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Eglises,Champs-elles,Champs-,Champs-lilysees,Champs-Eglises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Andilly,Chantilly,Chilly,Tibi,Billy,Neuilly,Filly,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Marthe,martre,port le Montereau,rue Montmartre,Montrez,boulevard Montmartre,Montmartre,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,kaolin de Bretagne,la bretagne,Montagne,Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Bars,Grange-Batelire,Liban,Carpentras,Bacchante,oulrageante,Barante,Quarante,,,,,,,,,,,,,,,,,,,,,,,,,,
205,A05,I,I85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,s00,I00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,boheme,Boheme,lBoheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Forchambeaux,Ft,Ft Forchambeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Fr6dic,Deric,Fr6lic,Fr6eric,rwanda Frederic,Misericorde,Fr6deric,Fr4deric,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"port
Maillot",Nimporte,"porte
Maillot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Paris  Nogent,Nogcnltais,Nogent,Nogentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Conference,Intelligence,recemmenf,fayence,vengeance;-,Regency,Genre,Regence,,,,,,,,,,,,,,,,,,,,,,,,,,
213,d Espagne,d'Espagne,Champagne,l'Espagne,musee espagnol,Espagnole,Espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Senegal,Sen6cal,notre Senecal,Senecal,Seneca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Sicelui-l,celui-l.,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Madrid,"Grands
Lamas",Mazas,damas,Prado,madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Cerfs,Clerc,Encercl,lons i cercle dor,Cercle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ma-,Pa-,Ga-,A-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,debout li-bus,cus,Jusqu,vOus,usl,us,souslc,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Pharamond,Arabes,Las,Flabart,Marathon,claira,Lara,Balaruc,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Carrousel,la Cardeuse,"place du
Carrousel",Croix-Housse,place du Carrousel,Carousel,carbonaro,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,trafne,Rentrons,Trocadro,e Tronche,Ro-,Boutron,trot--,Troyes,Trone,Blackstone,,,,,,,,,,,,,,,,,,,,,,,,
223,cule lIalbout,"boulevard des
capucines",boulevards des Gobelins,"boulevard sen
lait vide",boulevard de luI0pital,Boulevard,bouleversa,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Desluuriers,Deslauricrs,G,bDeslauriers,Deslauriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,reese,Presles,President,H,Cessaires,Presi-,Cessite reserve,Pressel,maitresse1,Presse,,,,,,,,,,,,,,,,,,,,,,,,
226,Finissaient,rue Saint-Denis,boulevard Saint-Denis,porte Saint-Denis,indemnis,de Saint-Denis,"Societe houille de Sant-et-
Loire",,,,,,,,,,,,,,,,,,,,,,,,,,,
227,l,Ar-,Debar-,ar-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Lacedemone,place de la Bourse,conseil general de l'Aube,"tic-tac de la
cellule",place de la Bastille,pont de la Concorde,place de la Concorde,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Inquisition,Rvolution,EnC ATION,Dictionnaires,Lection,Fraction,Dsualtevnisation,nATION,,,,,,,,,,,,,,,,,,,,,,,,,,
230,mathmaticicn,cicatris,Electric,Burricu,Matricule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,T10N,17T1,T1,Et1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Art industriel;,L I,Art industriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,I72,cambrai,Ambrecicourt,Chambord,Ambigu,dcembre,Chambres,Chambre,,,,,,,,,,,,,,,,,,,,,,,,,,
