cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56
135,"H

A",ILes Indiens auxiliaires des Anglais,"II
fleIk'
eD
4
- 
ao

s 
a 

i

0
Ea","S

SS",etais apelcu,S A,"m

A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,deserl,deserte,desert,desert na cela,reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,bois-brtl6s,Bois-Brtles,BR,bois-brtl6s dtfendirent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,A LLZL,BBLLE,LLL--,BLLLE,Rlld,LLCLL,LLLB,BLLLE IRIVIlRIE,2P-LL,"Rl

LLLA",7LL,"BLLLE R1YIE
landier",BLLLE RIVIRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"P,-F",-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Monlmorency,MIontmorency,Saut de Montmorency,tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,moyen8,Voyel,noyens,Soyez,Voyons,Voyez,Fuyez,croyez-le bien,Croye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Combien,"7
- Rien",bienl Demain,Bien-Aime,miens,Paisienl,Ben,ien,lBien,convenul A bienlot,Fort bienl,Tiens,- Tres bienl,ciencel N',revienlt,Ients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Pendanl,chevaux7 Cependant,pendunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,LA HELLlE,HELLlE,"AI

LA BELlLE",BELLE.IVInRE,BELLL IW1iRE,BELLlE,BELLL,BELLlE RIV1LE,BELLB,boutellle,LN BELLL I1V1ERE,mervellle,"BELLlE R1YIEE
Deux heures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Necessite,fort Necessite,w`zxmnecec,"II
LE OR NECESS1TE
IL'",fort Ncessite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,aparte,Harison,paratt,Paris,parcouri,parviut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,opposea,Opossum,epouvnte,epos,reposet,Posant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,du Nord,Amerique du Nord,"Amerique du
Nord",l'Amerique du Nord,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,It11,t1,Ble maudit1,R,"IBois-
Ble maudit1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,r-.:s,r-.:s -,.r-3-r-,Y-:s,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,.:a-,.:Z,LL.:5,.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,guisel,lulL rapidemonl,mademoiselle,I,Demohl,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,a1,.A1,.aT,.A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,EG,Bege,".ieg;:,i",siege,segent7,piege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,appiopiees,elevees,appuyees,EEs,W,"EEESE

E",ees-wver(--,"EEs

HGI",rreceesee-cc;cc;c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"F

U


u",Es-tu fou,IEs-tu fou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Peaux-louges,Peaux-Rouges2,Peaux-louges qul,Peaux-Rouges epa-,Chteaux-,Peau-lRouge,Rouges,Peaux-lRouges,Peaux-Rouges,Pean-Rouge,Peau-Rouge,K-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,N-,stupetaclion,Enviion,Jumon-,Albion,Ion-,Keproduelion,opinion2,Ionce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,fier,gibier1,Gsfi,oflficiers,fievre,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Seduction,Roproluction,- Reproduction interdile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Tonne,seuil de la maisonnette,prisonnie,pesonne,pexsonne annoncee,Sonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"II

E","I

E","IM
i 
E","I


-","EEI

E","I


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,l3erger,abbe,l,Berge,lBerger7,Bergel,Bergei,rGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,E'i.I,E',".E',1",ce',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,attendenl,endez,"chefl
- Attendez",rendez-vousl,surprende,Petendez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Ln,noln,ilnie vix,7I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,s:;cre,Londres,Reviendrez,satnis reponse,Andre,epondre,repondre,Altendre,reponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,senlinelles,senor Palamede,Nlck,senl,pesence,sE.,Va-t'enl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Ocean,lOcean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Fe.-.-.ux.glth,193,"Fe.-.-.ux.glth
LA IELLlE IVIEE
I
219
-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Prosorit,Pros-,Proserit,Proscrit.-,lProserit,lProscrit,Poscrit,proscritl A,Le Proscrit,Proscrit-,Proscrit,Procrit,Prossrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,vengel,elrange,Angele,etranges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,i Rollon,A7,ollert,Oll,"E

ol",Jan-Pol,mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"UIIE
II



LG","RI

l
M","II

aa
A-","I


L","II

l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"E1

I
N
La","W

S
L","W
L","H

r
L
l","I
alII
l","I
L","LRi
S","II

T
L
I
LI","I
M","I
12I
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,E7,faireune,affairel,faire7,dire7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,depart,eparee,epars,pepare,peparee,prepara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Viginie,Yirginie,fouinie,NI,Virginie,Nirginie,Inieux,F,compugnie,Iugi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"IH

e2L.
x
-
r","R
Ih-",Oih,Ih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Misvables,accables,"diables7
- Plutot",diables7,Semblables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,.--,"--g,.s-I.-r rrr",L.LL.--,L.--,.-2,-7-.--,.-L.,ie'---m-L.-r-.L.--,L.zR,a.-W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,LG,gre,Malge,malgre,Malgre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,egayer,crP-erc r;-,.-eer-,ler,rer,Ferney,Er,Observez,merisier,Jerusalem,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,sGIC-i,unsgrand,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Malevul,Palez,chateau de Maleval,Mee de Maleval,alever,Maleval,Malevall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"2H
I

t","H
I","M
I",9i,"ZL.I

E

IH
IKW","LI

H
IE","H
i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,los votres,aulres,notres,SURPR1SE,Preprez-,pres,resuma,Aupres,trallres,Apres,miseres,Sevres,sepre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,lEuropeens,ceurl,Europeens,Europe,delicatesse des Europeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Lhches,lche,Marches armoricaines,lches,lchetel,Les brunches,Lhches banditsl,Marches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Lh,Lhidalgo,Algonquins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Franais,lesFrangais,Frangais,Fugais,Iragais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,pintemps,Sainte,Q,maintenant7,Mluintenant,caignant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,epee,Ee,-eE-reeer,"EREE

I

I
EEEE",EE::Ec,cumbree,"I
E
EEEE","E
I'

EEE",zEEEEE,Ee-eEeeee,sgee,"EE
Pl","EEl

HEE",E:.LEEEE,EEEl,"IEEEZ

ILI",IV1EE,foree,EE,matiee,"tEEE

Ih
 

E
C
LHG",ssAeeia5-L,EE.-',EEEE2,"EE

B",aeiEEE,free7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,ae-¬,g;gEE-e,e-7,LAe-::cL,e-.-ws,ME-,E-,E-Eg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,banchages,Visage-Ple,Visages-Ples,nuaages,Visages-Pales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,soitl,Bonsoi,Soitl,Prosoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,M. de Grigny,baron do Grigny,buron de Grigny,endre temoin de .son bonheue,baron de Grigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Oi voulez-vovs,Savez,savez-vous7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,verai,jurerais,ignorais,natuure,jura,A'L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Caen,scabrex,Ca,ca,catr,cascabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,trompes2,tompei,trompei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Creole,regardez le soleil,soleil,souple,gand soleil,Le succbs,dole,desole,Le soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,alpio,Ohio,mediocre,io,Ioi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,qualre-vingts,Washington,Washiington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,blancsl,fe-blanc,elanca,melancolie,Blancs,dislance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,MB,nombe,timbe,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Accordez,lourdeset,Desormais,Nord,ordes,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Mississipi,Spndassin,Assis,assiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,WIL,fusils7,Pilma,Sicile,IL,ILA,Iusil,Ailez,ILes,Ilavgese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,quif,SUI,"9

UI",bruitset,IO L0uis,tauie,UI,A minuit,Inuimurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,C1.-,c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Aives,arrivonsl,arrives7,Achives,Arrives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Villiersl,taillis,5I,alliees,failliai,Villiets,Villies,Yillies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Cunadien,Canadienne,Canada,ILe Canadien,Canadieon,Canadiens,chasseu canadien,hasseur canadieni,Cnadien,Canadien loes,metropole canadienne,Le Canadienjelta,Canadions,le Caadien,Canadien,Cauadien,Cana-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,pluie glacee,Placee,sentihelles anglaises placees,Lovelace,plaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"S
 E

AR

I

I.
I
IIIl


SI
I
3
t
LA","mer

II
I
1
I
HtI","mer

II
I
1
I","Bl
I
I
II
I","II
I
I.

II

I
II
I","II
I
1A","El

B
I



h E

I
I
I
I1
II
II1

EE","II
I
M","W
I
I
III
H
UG

I
I1","II
I
H
I
I
IIII","II
I
II
I","II
I
IL","II
I
I
I.
I.","II
I
Il//IH","II
I
IMA","II
I
A","II
II
I



II

I
I
I
I","II
I
I
I
III
F","II
I
I","II
I
A.

I","II
I
II","IIM
I
II","II
I
E

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Gcagse,gs7,naGse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Renard-Bleu,Le Renard-Bleu,Renard-Blou,E1,Renard-,lRenard-Bleu,Renard-Ble,Benardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,chasseui,chassel,chaussues,chasseu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"El

B",Relevez,HEl,atepelt,jela,Amel,Enveloppe,celui-ei,celaf,Pelage,el,El,elau,fidele,I':g,Bastel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,trouves-,Iauve,Iauves,Ia9uves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,aveni,Mve,preveni,"veni
- A",Pavenu,souveni,reveni,interveni,Venise,centve,veni,oment de veni enaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,.'ardente,Accidente,caractee,Ioten,contentez,tentee,excitee,charpentee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,.Gi,V8,.g-c,.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Lajeune,lejeune,Lejeune,ijeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,crois,Bois-l'racy,Bois-Brle7,- Bois-Ble,Bois-Brles,Bois-,Vois-tu,Bois-raey,Tais-toil,"HBois-
Traey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"a-sm-usL
r",nousf,gare a vousl,nousle,Yous,vousf,vousl,vOuS.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,KI,"mET
R

KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"P
E
I
T

I","XI
E
I
EC","ii'

I
E","I
E
L","I
E
t","I- I
ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,aniti6,calomniee,IANIEE,ganie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,wigwvm,ge,verlige,exigeez,inllige,Maige,ige,ig94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Manangahela,Manongohela,Manongahela,Mlanonghahela,nuanoe,reunion de Manongohela,helas1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Revenons,monsieu,Ionsieu,mnonsieu,mnonsieut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,GEL11FROY,GEIFROY,GEFFROY,CGEFIFROY,GEFROY,GEFFIOY,GEFR0OY,GEI1FROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,huche,Couchez,penchee,Boucle,ouchee,morichee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,P2,chatean,hate,cap du Chat,au Havre,parc du chteau,AU CHATEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,ciell,selle,cuelle,Quelles,soreellerie,cielle,I3ELLE,BIELLE,BIELLB AIV1EIE,lExcellenll,IELLE,crnelle,Telles,Celles-ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,ys,"YSE

F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Caudebec,Quebec,Qubec,Ouebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,".-a.=---af
El
E

IFEE","S
S","El

l
E","zZ
E

I","S
el
e
 1","is
E

S

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,".,L",".-.,-.,",".,.3-","c,-",".,-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"I'
IRH",obeir,Irappa,GEIR,Dire,aneantirent le Iruit,Vire,alttira,nir,Ir,IR,Iroid,Circes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Mlais,Aiglais,Anglais,tete baissee,Laisse,guerisse,Laissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,zggE,GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,lcoutez,souterain,Ajoutez,- Ajoutant,sansdoute,degout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,L1y,lL1V,L2,l1,Hll1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,saclem,sachet,sachem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,- Arriere,clairiee,clairiere,claiiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Eu,pleus,dileur,lEh,Corbleul,comle,Leu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,i-,"P-- -
I","I1 -
I-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,aWA,wampums,tad,Wad,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Ierme,.r.rm,Iermee,larmee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,E;.,"L,;.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,by God,"I

G",I G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Franeais,Irancais,lrancais,Francais,brancad,Fancais,francais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,couirs,echoue,coureius,Doue,coutse,Avouea,coue,cops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,iiicceiriy;e-,Eetiiiee,iiiiii’,-re-5iiisiLLsi,"IIIIIl
II","IIIII

I&","EIG

III",IIIII,"E
I

M
IIIII","IIIIIIIIIIIIIII

H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Royal-Marine,Marigots,Mnse-aux-,l'Mnse-aux-,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,fl,Ward,flt Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Pa-,palce,- Pas,pas7,passee,Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,legeret6,bruyeres,- Merei,ZIPE,exageree,severe,Veuiueree,jespere,percee,fere,Pere,perdula,Penserez,tomberent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,meritee,l'Amerique,Amerique septentrionale,briquet,Americains,Mexique,lJistorique,Ameique,Amerique,Atlantique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,tfleuve Saint-Laurent,"fleuve
Saint-Laurent",Le Saint-Laurent,Saint-lLauent,Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"L P
LL","IEEJ


m

I
 P
LI","I
 P
LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,BELLLE IYIEnE,WY,"D

I
aY
Ih

I

LA BELLE IV1ERE

Ehs",MLLLE IIVIEIE,BEI.LE IVIiRE,BELLE IY1RE,BELLE R1V1EnE,BELLE IVIEnE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,moil,Voilh,Voili,voila,Voil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"II
II
E.

I

I





I.","I

I
I

Ii 1","II
I

II

1N
.:G","II

21I
I

.2","III

I
I
IIHI","ELII
I

I

IW","II
I

I

x","II'
II
II

I","II
I
II 
I1","II

I
II
M","E

M
ELII
I

I","I
I

I.","NHI
I

IIh","HEE
II

I
L","WW
II
II

I","I
I

ILII","H

II
I

IH","II
I

I
II

II1","E

I
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,mone,bon7,baon,tone,Notons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,plupurt,vecu,ecurt,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,alfreux,tereu,Rr,querrezla,deierre,"errre-:nT-e
LA",A terre,Erreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"loirs7
- J'",J',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Fance,roi de France,HK,Frunce,Franoe,fray6,Fran-,la France,"Francef
- Non",Francef,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,drolel,avee,adesse avee luuelle,drole avee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,pagnie,ompagnons,MP,cotpagnon,capagne,Espagnol,accompague,d'Espagne,cmpagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,"rnn
L",grnd lrve,dernie,rn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,dilficulteset,htes,c.,tistesse,maindes raquettes,"Ohl
- Cetes",ctes-,Tes,"cotesse
Ly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,TIT,we- 5itt-s L,IttIl,edit.,Pittsbourg,Itt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,etles,S,cetle,outle,atlend,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,IB,Ilibustier,tibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,cCZCZL,cc===z,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,porte patr,"RIV1RE

opiniit6ment",Ioissements,- Nullement,coinpartimentsau,Fatalement,tristemenl,vraimentl,Precisement,- Completement,entieement us,Iortement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,cimetieres,ontfond6,frontiere,"opinion2
- Pas entierement",Iontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
