cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
177,Gra-,Praea,Graea,Ae,Engraxou,Jrae,"tipo6-
grafo",,,,,,,,,,,,,,,,,,,,,,,,,
178,almogeo,Josefal,Pombal,balle,falua,algodeo,Valeu,Algarve,falardo,Oral,Sejam quals,Qual Judial,Abalou,Quall,umna armal,firmezal,Al,Safal,gales,Palavral,Pomhal,Jalete,ralva,,,,,,,,,
179,"Santis-
sima Trindade","Santissimo
Sacramento",Santis-,Santissimo Sacramento,Certissimo,missanga,Santissimo,Imissa,,,,,,,,,,,,,,,,,,,,,,,,
180,rccci6,"Ccul
Bela",Emagreccu,Ccul,Acumulava,Lully,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Ninguem,Porque,"dc
paquete",aue,uue,FRAD1UE MEMH,gque,sque,uem,Oue,Aquela,"Guedes
gue",ue,PorqvUe,,,,,,,,,,,,,,,,,,
182,XI,I,pauis proximos,proxima,PR MAnRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,homcm,Hoie,YIE,hoie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,peco.-,Esco-,cO,pcscoco,pescoco,pescogco,Escocia,Rebuscou,,,,,,,,,,,,,,,,,,,,,,,,
185,"c
crcia",Crcdo,rcdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Senhora da IEncarnacao,"Sao da Encar-
nacao",Senhora da Incarnacao,"igreja do Senhorl-
exclamou D. Maria da Assuncaio",Senhora da Alegria,vidraca da cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,
187,colera,lengol,Silencio,Encolhia,benevolencia,Colegas,colegal,lencol,Encon-,,,,,,,,,,,,,,,,,,,,,,,
188,maic,Luma-arma,Mata,ma alma,mae,mais?-,Gamacho,eMas,Damasco,mamai,maie,Matamo-lo,Mau,mamd,amaldicoava,,,,,,,,,,,,,,,,,
189,"pilar
da Igreia",igreija,Igreja-,Igreia,Emagrecia,igreia,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Domine,Dominus,Iao dos comil6es,Dominara,Iingindo,Domingos,S. Domingos,st do Domingos,,,,,,,,,,,,,,,,,,,,,,,,
191,Causava,cobicava,cavalete1,EspacaVa,Comecava,polcava,Flcava,,,,,,,,,,,,,,,,,,,,,,,,,
192,IIaviam,Via-Claral,Via-o,Vlvia,ubora Vivia,Via-Clara,Devia-a,Haviam,"E1

vI",Vieia,movia,lavia,Via,Vivia,,,,,,,,,,,,,,,,,,
193,laijes,Olal,Polais,Lai,Ola,Olai,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Cozinleiros,Pinheiro,Drocozinho,pirozinho,parocozinho,ZI%,pinheiros baixos,Joaozinho,,,,,,,,,,,,,,,,,,,,,,,,
195,acgao sacerdotal,tecgao,acgao,redacgao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Alegros,Egr,tao alegre,alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Associago das Servas,ASSOMOlR,CoOnfisso,Passou-lhe,Associago,asso,Passou,Dassos,Assombrado,Asstucio,,,,,,,,,,,,,,,,,,,,,,
198,Arregacal,Santa da Arregaea,"Ivenco
da Santa Cru","procissao da bela varanda do
tabeliao",FAnDRE A I,Santa da Arregaca,cnsa du,"louea iuzidia da Vista-
-Alegre",reputacao duma scela de alquimista,,,,,,,,,,,,,,,,,,,,,,,
199,ORIE,CRIlE,"Se?-perguntou Amaro
ORIIE D P D IIE",QRIIE,UCRI3E D0 AEIE,cRIIE,,,,,,,,,,,,,,,,,,,,,,,,,,
200,S. Carlos,Barrosa falar a Carlota...,Carli,Carlos-,Senhora Carlotal,Carlota,cantarl,"pe de
Carlota",,,,,,,,,,,,,,,,,,,,,,,,
201,Pareceu-,Eu,Ceul,ce,Ceus,Ceu,permanceceu taio,ceu,,,,,,,,,,,,,,,,,,,,,,,,
202,Mendesl-,Comendador de Cristo,Emende,Ltender,Mendesl,Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,
203,deio,Delxe,Deixa-la,Deixem,Deixa,Deixe,Deixa-las,,,,,,,,,,,,,,,,,,,,,,,,,
204,Tenkio,Iobo,impio,Ftiopia,IIo-de,"Io
sio
oIIE",Vadios,Ovidio-,Nio,Oficio,io,Iojas,Ioia,IO,Sergio,ue nio,chio,Io,,,,,,,,,,,,,,
205,"Nossa
Senhora das Dores","Nossa Senhora
das Dores",Vossa,Nosso Senhor,Nossa Senhora das Dores,"Nossa
Senhora de Lourdes...",Senhora do Rosario,"Nossa Senhora do Rosario...
Disse-a o padre Vicente","Nossa
Senhoral","Nossa Senhorae
S. Vicente","Nossa
Senhora de Lourdes",Nossa Senhora da Saude,"Nossa Senhora
da Ermida",Nossas Senhoras,Nossa Senhora,"Nossa
Senhora",Nossa,"Nosse
Senhora",Casamento de Nossa Senhora,Inimizade de Nossa Senhora,,,,,,,,,,,,
206,"bom
Ferraio",bom paio,bom Ferraio,Ferraio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Gertruudinhas,Joaninha,vizinhanga,unhas,travesscirinha,"Rainha
Vito6ria",peitol Tinham-no,galinha gorda,VInha,Vinha,chapinhando,viha,Sozinha,TInha,Minha,,,,,,,,,,,,,,,,,
208,Faz-me,AZ,Fazem-me,Faz,azfama,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"pe do
cemiterio",pe do homem,pe do Terreiro,pingo do rape,Arco do Triunfo,caixa do rape,pe do valado,pe do estanco,pe do guartel,pe do rio,,,,,,,,,,,,,,,,,,,,,,
210,Brasill,Juras,"Brasill
Enterneceu-se",Critica do Brasil,Abrasa-mel,Braslc,Brcsil,Brasil,"Brasill
Foram",silvas,,,,,,,,,,,,,,,,,,,,,,
211,Estado,Ldestruicao,Esteia,Estaio,Estoico,Estimava,Esti,Estcu,Estive,estado,Estoeve,Estai,Estar,Boa besta,Esta-me,Est,Estave,Hoe est,,,,,,,,,,,,,,
212,com-,V,Comu-,Comui-,Comuni-,Uni-,Excomunhao,,,,,,,,,,,,,,,,,,,,,,,,,
213,Liberus,Lis-,Heliogabalo,Litgo,pilida,HlI,Biblia,felizx,Aclia,Juliana,Liado,Li,Jlia,Joli,Lis,,,,,,,,,,,,,,,,,
214,Brito,Itroito,UCTIITEU,ieito,Tito-Liio,Dezoito,Bendito,Iito,ItI.,IIt,Iigoleto,Aproeito,pcito,,,,,,,,,,,,,,,,,,,
215,Imnonotonas,Outono,Doutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"Arrepen-
de-te",Reden-,Acen-,Arrepen-,EP22,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,legua,aeguda,Pieguices,egua,Cheguci,Cheguem-se,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Tomar,Drometo,Leia S. Tomas,Tome,Tomavam-na,Roma,Toma,Maldito,Tetomara,,,,,,,,,,,,,,,,,,,,,,,
219,DHE,ADHE,D-ihe,Se Ihe,HE,lIhe,Ihe,Impunham-Ihe,Ih,Ihes,,,,,,,,,,,,,,,,,,,,,,
220,Tenho,secura:-- Tenho,minha senhora,scnhoria,"graca
do Senhor",Naio senhor,Senhora ae dos Homens,boa senhora,Amaro:-O senhor,senhor2,Disse-mo o senhor padre,"Se-
nhor","minha
senhora",ma senhora,senhoresl,Senhora,Rabicho,senhorl,tenhal Agora,"senhor dou-
tor",,,,,,,,,,,,
221,Abafava,Gracal Divagava,orva,Vagen,Vaz,Dava,Louvado,Cordova,Va,Juilgava,yvai.-,,,,,,,,,,,,,,,,,,,,,
222,Distrito e a Sociedade,"Piedade ue
te g-P",Impiedade,Piedade,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Abre,Pobre Teles,Obra,Nobres,pobreza.-,Pobre,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Sul-,"L-
xVI",L-,l-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"seminario
cC",Natario-,seminario,"Portol
Natario",Natairio-,"arocol
Natario",Pataratas do Saldanha,Natairio,Natrio,"Eu11
Natario",Natirio,Natariol,nar,Natario.- Leia,Natarla,Natario,snr.e D. Catarina,,,,,,,,,,,,,,,
226,devogi,c6es,C6u?1,devogc6es,saide fogc,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,punha de alto,Bairro Alto,Alto la,Saltou,chaivenas de alto,alto Ceu,Maltes,Alto,,,,,,,,,,,,,,,,,,,,,,,,
228,bacalhau2,Chocalhe,Chalacal,Joanal,Canalhal,Canalha,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"tam-
bores",I87l,Loreto,Louvores,florescencla,Flores,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Alameda Velha,Alameda,ELP2EPeELl9-9tam-aLl9ias,Amellal,Amella,alameda,"Olat Bela sociedadel
Galgou",,,,,,,,,,,,,,,,,,,,,,,,,
231,Ai,Caiu,baixo d,aiuntou,Aindai,jai ca,T,Cais,aivida,egua baia de Joaio,Daif,Ail,AI,Saiba,,,,,,,,,,,,,,,,,,
232,Dentro,petroleo,Introibo,Trento,outrol,Depols,dentrol,,,,,,,,,,,,,,,,,,,,,,,,,
233,Pecado,ca,cabeca baixa,cabo dum,cabega,Acabe,cabeea baixa,"Cabeca do
gs",cabo da faca,cabeca,Ca,Cabrais,cabeca caida,,,,,,,,,,,,,,,,,,,
234,"ar.- Acudam
Da",Acudaml-,ar.- Acudam,S.-O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,cstou,custou1,Custou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Snr,snr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,magro,Imas,ligrimas,sala.- Mas,veu das lagrimas,lgrimas,lagrimas,,,,,,,,,,,,,,,,,,,,,,,,,
238,ps,pstl Eh lal,pstl pstl,Pst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Agosrinho,Agos-,Agostinha,"pocilga do
Agostinho","Agos-
tinho",hostia,"Agos-
tinlho",,,,,,,,,,,,,,,,,,,,,,,,,
240,dc,Dcus,Dcu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"Deus
t-",Adeus,"Deusl
Gorda",Eliseus,us,uss,Deus do Ceu,Deusl,Deus,"Deus,-e
Deus",causeuse,,,,,,,,,,,,,,,,,,,,,
242,Brincadeiras,FhRADIuU,Tirado,"madre
rodeira",Bairrada,Madeiral,admirageo,Madeira,sade,,,,,,,,,,,,,,,,,,,,,,,
243,ago gasto,lengo de algodao,lajeado do largo,cabo do Ultramontanismol,taberna do Gego,alto do Golgota,Golgota,,,,,,,,,,,,,,,,,,,,,,,,,
244,Tolices,sl,Tolicesl-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Santo Ilde-,Santo Inacio,cantochao,boca dum santo,Antonia,santol,levantou:- Entre,"Santo Inaiciol
Bendito",Santo,Sanchcs,Santo Ambrosio,"Anto-
nia","Santos
Antonios",levantou:-,desolacao dum santo,santo,cenuanto,Santo Tirso,,,,,,,,,,,,,,
246,tira-mo:-,tiranico,Tira-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Ergueu-,Iarguesa de Alegros,hierarguia,Esgue-,Cessaria,Iarselhesa,"hein2
Ergueu-se",Iarguesa,,,,,,,,,,,,,,,,,,,,,,,,
248,jancela,mar-me da janela,Ja,Janelas,Bruxelas,Tanelro,,,,,,,,,,,,,,,,,,,,,,,,,,
249,LA FAUTE,Auela,crlanga,Aucla,Milao,lajeado,la s6,Dlas,"LA
FIDTE",dlas,lajes,La,PROLAE 1RLARA3,,,,,,,,,,,,,,,,,,,
250,Gouveia,Judeia,Dulcineia,Ceia,"aCavour de
Leiria",Leia Gavantus,Legiao,Onde Leiria,Leiria,aldeia,Leia,Baleia,,,,,,,,,,,,,,,,,,,,
251,elesl,Elefantel,Teles,plebelJesus,excelentel,movels,elc,Auele,Del,LEEL,Delecluze,sels,elel,ELs,,,,,,,,,,,,,,,,,,
252,Fillstinos,Inter-,Minta,sentirla,"Ti
 .A",Sinto,Laboranti,INtI,Entio,Instintivamente,,,,,,,,,,,,,,,,,,,,,,
253,cdar,Dassara,pDara,Engordara,cara redonda,Mudar,Acordara,Dara,Darouia,,,,,,,,,,,,,,,,,,,,,,,
254,bergo,Iogo,Ilogo,ogo,"faga
fogo",,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Sabel,Sabla,abusar1,Sabes,Sabe,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Beati,Pacatinlo,satisfacaio,Catio,Fatigou,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,II-- LT1MAg PIIHAI-- I I1NA D ALDMIO,Iicou,OCRIIIT(I,IIInpAIR  W,CRIII,Eiiiiircicaieii,Iii,xXIII,"Iiii',2",Iia,Iivros,III--0,Ii,Iil,,,,,,,,,,,,,,,,,,
258,balancar,saia branca,Franea,Franga,frances,S. Francisco,Franca,Vila Franca,,,,,,,,,,,,,,,,,,,,,,,,
259,familia,"pe de
Amelia",Amclia,Ameliazita,Amdlia,Santa Amelia-,Amelial,Infamel,Aimelia,Amelia s6,Amcelia,Amelias,Argelia,Amelia,"Tot6l
Amelia",Amlia,Amelia-,,,,,,,,,,,,,,,
260,Mangara,abragcar,Parabens,Marrazes,Alchntara,Chegara,Cc Santa Barbara,gracejarl,casarao amarelo,Lembraram-lhe,Caramba,Achara,Comecara,Agarrara,Arran-,barao,Expirara,Dobrara,segurarl,Paraiso,Voltaramn,paraiso,saragoca,Paradou,larania,Prepara-te,arara,,,,,
261,vTas,umta,oMTas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Nopal,Papnl,ggrgypAA,patife.-,Pago,PA R,pas-,partgel,lorpa,Upal upa,ripanco,Europa,PA,,,,,,,,,,,,,,,,,,,
263,Iigura,Figueira,Trigueiros,estrada da Figueira,Trigueira,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Havemos,Fomos,Famosa,Vamo-nos,Estamos,cxclamotl,Vamos,,,,,,,,,,,,,,,,,,,,,,,,,
265,Provenga,"s6
sensagao",presenga,licenga,senga,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,tenhal,Desavergonhada,Oonveneao,Venho,Venha ca,chavena,Insensivel,Venha,,,,,,,,,,,,,,,,,,,,,,,,
267,Palletan,irritagao,gavetao,Ehtao,baetao,falandocom inuietacao,Betanla,luneta ma,Etao,,,,,,,,,,,,,,,,,,,,,,,
268,Macas,reeaco,Aconselhou,acei,cacoar,difamacoes,baca,Faco,Fumaca,Cacetel,Macaco e da Baleia,N,Cortegaca,acusaco,Macaco,,,,,,,,,,,,,,,,,
269,carvao,Arcada,Carne,cantaro,Carcavelos,Carreiro,carvoes,carol,varoes,Anaro,piicaro da agua,Provarei,Aharo,Barroca,Jardim de Lazaro,Tropecara,CARNE,Carocho,Caro,,,,,,,,,,,,,
270,Imitaco,Joanita,Freitas,Coitada,Coitadinhal,Coitaditas,Ievita,It0,Coitadol Santo,Muita,Brita,coitaa,excitagac,Militart,Meditacdo,Coitadita,,,,,,,,,,,,,,,,
271,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Chut,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,desesperados:-,desejio,Gertrudes,Debalde,descaia,deserta,hdspedes,Desejou,Baldeschi,andes,"Rp
l","des-
pDir-se",Abades,Descia,Des,,,,,,,,,,,,,,,,,
274,embura,ourelo,Ouf,UR,Ourem,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Dbrinho,Carlinhos,Cansadinho,Junho,Minho,Fami-,Caminhante,"ma
caminho",caminlo,Caminho,riquinhol,,,,,,,,,,,,,,,,,,,,,
276,N6s,o6,ho6s-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,chantc.-,Gan-,Chateaubriand,cha,chan-,,,,,,,,,,,,,,,,,,,,,,,,,,,
