cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121
78,Manon,Laboranti,Tamanho,lorpa,Panorama,pachorra,Amanhã,S. Gorislano,"Pano-
rama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Chalaça,baça,serra de Alcobaça,Abalou,Alcobaça,Pombal,"Brito de
Alcobaça",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Cruz,Cruzes,Delecluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ir,Vieira,Tirado,Vimeiro,mir,Virgens,Vira,elvira,Videira,Tira-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Nantes,NPIcaniEntEs,mexe-te,Cármens,Gente-,Casamento,Menino,Mente,Repente-,Inten-,Ámen,Instintivamente,Positivamente,"Pimen-
tel de",S. Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Tenho,Venho,Junho,Subvenite,Venha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Praça...,Fumaça,Proveça,Praça,França,Praça Nova,Graça!,pé da Praça,Graça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Baboseiras,Queira,Beira,bebedeira,Brincadeiras,Moreira,trapeira,Madeira,Beijo,Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bêbeda,Bêbedas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Reden-,cara redonda,hóstia redonda,Credo,acre,Arredo,rel Azevedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Parto da Santa Virgem,mar-me da janela,Mantinha da Baía,Santa da Arregaça,santa da Arregaça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,cabo da faca,cabo dos guarda-chuvas,cabo do Ultramontanismo,cabo dum,cabo de polícia,Taborda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Ásia,nísia,nsia,Simpatia,"cosia de
luneta",Dioísia,sia,Insistia,Diosísia,Dioísia...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,saia branca,Havanesa,Teresas,Causava,Casa Havanesa,anasarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Divagava,Abafava,Esfregava,Vaz,Odiava-o,Arfava,Recordava,palrava,Dava,Espaçava,Abominava,Acumulava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Quere-me,Nêo,Aquilo,Ergueu-,Quereis,Queres,— Quebrou,Quero,Queria,Quer,trinque,— Quem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Cais do Sodré,Córrego das Tristes,Voz do Distrito,4 Voz do Distrito,REDACTOR da Voz do Distrito,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bairro Alto,mar alto,falua,Alto,Vidalti,Salte,Maltês,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Leia Gravatas,Creia,Baleia,spleen,Leia,Nemeia,Leiria,Dulcineia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Licença,Eá,Doença,Endoenças,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,párocio,Juro,Roda,matrona,Rosa,prodígi,Apro-,Europa,F,rouba,RO,Coroa,Petroleiros,Sátiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Vejam,Job,Vejo,bocejo,Tejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Sala-
nás",Calcada,Cali,Cala-,Calafates,Cala-te,"rua dos Cala-
faces n.º 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Exultante Domino,S. Domingos,Dominara,Domingos,Inimigo,4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Estigmas de S. Francisco,Amêazinhaga da S. Maneira,S. Maneiras,"casa da
S. Maneira!",Janeiro,Maneira,S. Janeiro,S. Maneira,S. Francisco,V. S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Civilização,Civilização...,Arco...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Brito Correia,Corja,corujas,Corre,Correia,"L'ABÉ
MORRER",sorri,Coreto,Correu,cor=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,gerina,Persevere,Lausperene,Ser,Morena,Senão,enxerga,Renans,Miserere,serena,Tremer,Póôr-se,Pensei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,sacristão,embasbacava,casa do capão,casacão,Cã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,S. João da For:,João,S. Jo-,João-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Estamos,Estado,Estótico,S. Sebastiões,Boa besta,Estrela,Indigestão,Estás,Escolástica,estã Sul,Estimava,sacristães,Est,Estive,Questões,Estremoz,escreveste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Martyres,Populares,Jesocupada,altares,tre Valadares,Valadares,valado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Parece-me,Recu-,Pareceu-,Ce,Preparou-a,Recru-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Porque-,"bom
Marques",Esquife,Segue-,Esque-,Vasques,Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Caramba,Parado,prantear,saragoça,Alcântara,para-,Arranjes,Achara,Arco,Mouraria,Rabicho,arara,Cara,barraca,Agarrara,Expirar,Marrazes,pilar branco,Engordara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,bric-à-brac,silvas,Juras,Assombrado,Abrasa-me,Brasil,luvas de casimira,Casimira França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Cónego,cónego,"cónego
Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,É-verdade,Impiedade,Piedade,Senhora da Piedade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Hã,Covilhã,Vão,Malhão,Hão-de,lhão,Japão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ó Dias,Dizia,Índia,Concórdia,índia,calúmias,Saias,Dinastia,Manias,Dias,Índias,Podia,Amédia,Adian-,invadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Jardim de Lázaro,jardim do,jardim da Estrela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Saiba,Maio,sotainas,bom paio,Baixa,Demais,Ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Gratid,Grandioso,Gra-,Grande,Grand,brandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,rua dos Condes,Aonde,Con-,Mendes,nandes,Condes,Convido,Desavergonhada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Esguelha,Guedes,Esguelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,em Portugal,Porto,Pompa Espiritual,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Imaginava,Imaginara,Imagine,Imaginas,Medicina,Imaginem,Imagina,Paulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Porta de Ouro,Bairro de David,"Torre
de Babel",torre gemeu,Torre de Babel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Santo Antão,Levantou,Sarmento,Santo Inácio,boca dum santo,Violento,Santo António,Santo Amorósio,"Santo Ide-
afonso","Santo Inácio!
Bendito",santo,Santo Tirso,Santo Ofício,Leia Santo Inácio,Antonio,Sinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Sé,Onde Leiria,Sé de Leiria,dalizar Leiria,Morena de Leiria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Vocês,"Sé de
Évora",Távoras,névoa,Évora,Sé de Évora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Percebera,aterrado,Inglaterra,"Nunes
Ferral",serra,Tereiô,Terra,Terreiro,Pudera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Religião,cirurgião da câmara,gião,Feião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,mana,Mata,Marsclhesa,Extrema-Unção,Mau,Matámo-lo,Maia,MA,maluco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Traste,ourelo,Foste,Castelo,Castaldus,Éclogas,"monte do
Castelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Í,Absolver,vol-,Sol,Brísol,Solidão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Barrosa,Arcada,faro,Carreiro,Arouca,Caro,Carocho,Barroca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Escuta,fauteuil,Escusa,Escuridão,Cu,Escute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Jnspector,Recados,adormecida,Pecado,Catecismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,rua Rosina,China,Rosina-,Ensina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,cordeiro,Pinheiro,Outeiro,Pinheiro deu-as,pinheiros baixos,"hei-
rosas!",Pinheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Oh Amaro,Amparozinho,Ó Amaro,Lisboa de Amaro Vieira,Camarote,Ribamar,Amara,marroquim,Sou Amaro,Amaro,” Amaro?,marmeleiro,Amaró,Amparo,Amar,amaro,rugiu Amaro,“Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Ansioso,— Pensam,Ansiosas,Ansiosa,Rossio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Cavalgadura,Batalha,Canalha,Carvalhosa,Evangelhos,Hoc,chocalhava,Achava-o,Filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Exc,necessita,Necessitava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Calvário,mercúrio,Ofício,Eugênio,Ofertório,Varios,Silvério,Purgatório,Rio,bom Silvério,Breviário,Osório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ciganos,"*
Gansosos",Raposo,Gansozinhos,Posso,Filosofia,Gansosos,Medroso,Gansosinho,Trigoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,palmas de mártires,S. Pascoal Bailão,Palma,palerma,palmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Madalena,Damasco,Nadamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"CRIME DO PADRE AMARO

Dorme","CRIME DO PADRE AMARO

rabeca","CRIME DO PADRE AMARO

Outras vezes",CEIL DO PADRE AMARO,CRIME DO PADRE “AMARO,CRIME DO PADRE ANARO,"CRIME DO PADRE AMARO
Que João Cabral da Silva Alongando
Mendonça de Gouveia","CRIME DO PADRE AMARO

pássaros",CRIME DO PADRE ALVARO,U CRIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Dias","CRIME DO PADRE AMARO

Amélia","CRIME DO PADRE AMARO

tas","CRIME DO
PADRE AMARO",CRIME DO PADRE AMAEU,"CRIME DO PADRE AMARO

Assunção","CRIME DO PADRE AMARO

grande","CRIME DO PADRE AMARO

Amaro","CRIME DO PADRE AMARO

tam","CRIME DO PADRE AMARO

Prevenir-a","CRIME DO PADRE AMARO

mesa","CRIME DO PADRE AMARO

Da terrina","CRIME DO PADRE AMARO

cabo","CRIME DO PADRE AMARO

Senhora da Boa Viagem",CRIME DO PADRE AMAR,PADRE AMARO,"CRIME DO PADRE AMARO

cal",CRIME D9 PADRE AMARO,"CRIME DO PADRE AMARO

Ta-a",padre Amaro,CRIME DU PADRE AMARO,"CRIME DO PADRE AMARO

E","CRIME DO PADRE AMARO

ava","CRIME DO PADRE AMARO

vos",CRIME DO PADRE AMARO “,CRIME DO,"CRIME DO PADRE AMARO

radiante",CRIME DO PADRÉ AMARO,CRIME DO PADRE AMADO,"CRIME DO PADRE AMARO

vizinho","CRIME DO PADRE AMARO

Queria","CRIME DO PADRE AMARO

sa","CRIME DO PADRE AMARO

Coimbra",PRIOR DO PADRE AMARO,"CRIME DO PADRE AMARO

universo",CRIMEÉ DO PADRE AMADO,"CRIME DO PADRE AMARO
cortininhas de cassa","CRIME D9 PADRE AMARO

reu",CRIME DO PADRE,"CRIME DO PADRE AMARO

do jantar",CRIME DO PADRE AMARO 5,"CRIME DO PADRE AMARO

sal am","CRIME DO PADRE AMARO

delírio de melro feliz","CRIME DO PADRE AMARO

da Maia","CRIME DO PADRE AMARO

boulevard da Bastilha",CRIME DO PADRE AMARÓ,"CRIME DO PADRE AMARO

lata","CRIME DO PADRE AMARO

Desprendeu-se","CRIME DO PADRE AMARO

a D. Josefa","CRIME DO PADRE AMARO

lhas","CRIME DO PADRE AMARO

de fósforos",CRIME DE PADRE ANARO,"CRIME DO PADRE AMARO

a Gastos e","CRIME DO PADRE AMARO

uras","CRIME DO PADRE AMARO

padre","CRIME DO PADRE AMARO

paixão",CRIME DO PAdRE AMARO,CrIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Godinho","CRIME DO PADRE AMARO

V. S.*","CRIME DO PADRE AMARO

senhor padre Natário",CRIME4 DO PADRE AMARO,CRIME DÓ PADRE,"CRIME DO PADRE AMARO

chibatava","CRIME DO PADRE AMARO

cabeludas","CRIME DO PADRE AMARO

dos vales","CRIME DO PADRE AMARO

gar","CRIME DO PADRE AMARO

& cabeceira","CRIME DO PADRE AMARO

verde do candeeiro","CRIME DO PADRE AMARO

Atirou-lho",CRIME DE PADRE AMARO,"CRIME DO PADRE AMARO

de santas","CRIME DO PADRE AMARO

Instintivamente",U CRIME DO PADELE,"CRIME DO PADRE AMARO

snr",CRIME DO PADRE AMARG,OPIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Chamou",PADRE AMARÚ,OLÍME DO PADRE AMARO,"CRIME DO PADRE AMARO

alta",CRIME DO PAPEL AMARO,"CRIME DO PADRE AMARO

Novembro","CRIME DO PADRE AMARO
Saia","CRIME DO PADRE AMARO

Aldeia",CRIME DO PAPEL,OERIME DO PADRE AMARO,"CRIME DO PADRE AMARO

o Estótico",CRIME DU PADEÉ AMANHÚ,"CRIME DO PADRE AMARO

párico",CRIME DO PADRE AXWXRO,"CRIME DO PADRE AMARGO
de Agosto",ocrimedopad,"CRIME DO PAPEL AMARO

Natário","U CRIME DO PADRE AMARO

com irôniá","CRiME DO PADRE AMARO

— Prudência","CRIME -DO PADRE AMARO

Amaro","CRIME DO PADRE AMARO

festa","CRIME DO PADRE AMARO

senhor",CRINA DO PADRE AMARO,"CRIME DO PADRE AMARO

vista...",CRiME DO PADRE AMARO,CRIME DO PADRE AMARO,CRIME DO PADRE AMAEG,"CRIME DO PADRE AMARO

negra","CRIME DO PADRE AMARO

grafo","CRIME DO PADRE AMARO

da serra!","CRIME DO PADRE AMARO

cinta","CRIME DO PADRE AMARO

penitência","CRIME DO PADRE AMARO

mudeando","CRIME DO PADRE AMARO

de murmuração!",CRIME DO PADRE AXARO
