cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
211,Estado,Estai,Boa besta,Estalar,estado,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Santa Virginia...,virginia,Santa Virgem,Parto da Santa Virgem,Santa Virginia,Virginia,Virgens,,,,,,,,,,,,,,,,,,,,,,,,
213,Alameda Velha,Alameda,alameda,Infame,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"E1

vI",Cat DO DE,OITE DO HDIE,reino do Ceu,lajeado do largo,1E DO  D E  M,oITE DO A D R,E1 DO   D,"Rua espa-
nada do modo do",pingo do rape,E1,,,,,,,,,,,,,,,,,,,,
215,Tudo,v,TU,Tu,provotu,,,,,,,,,,,,,,,,,,,,,,,,,,
216,parocozinho,Cozinleiros,Drocozinho,Joaozinho,irmaozinhoque,vidraca da cozinha,,,,,,,,,,,,,,,,,,,,,,,,,
217,confessal,Econ-,con-,Con-,Aconselhou,mon-,,,,,,,,,,,,,,,,,,,,,,,,,
218,O-t,mo-te l,Temo-la,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Civilicacdo,Civilizacao...,Civilizacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Cumiada,Encarnada,Nada,Sufocada,Madalena,Nao,,,,,,,,,,,,,,,,,,,,,,,,,
221,Damasco,Pascoa,l,Pascoal Bailao,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,suaAm-,a3,AA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,placide,amizade.-,Trindade,adormecida,vencIda,CIDADE,Eternidade,Brutalidades,Cuidado,cidade1,,,,,,,,,,,,,,,,,,,,,
224,Prudencia,Providencia,Escocia,impudencia con-,"Sao da Encar-
ncia",Agencia Havas,Ncia,Violencia,,,,,,,,,,,,,,,,,,,,,,,
225,ar.- Acudam,Acudam,Mudar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Ds,Ciumes,Iu,ciume.-,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,fazes.- Ia a dizer:-,Faz-me,Marrazes,Faz,Fazem-me,Fazes,Vezes,,,,,,,,,,,,,,,,,,,,,,,,
228,entao s6,Lenta,Entaol,Ehtao,Entaio,EDICAO MONUMENTAL,entao,Entao,Etao,,,,,,,,,,,,,,,,,,,,,,
229,"Sol
de Dezembro",Sol de Maio,Setembro,Sol de Setembro,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Emagrecia,Emagreccu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Republica,replica,EP22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,us,Adeus,"Deus
Gorda",Deus do Ceu,Deus,"Deus,-e
Deus",,,,,,,,,,,,,,,,,,,,,,,,,
233,Repente-,Mais-de-te,mexe-te,"Repente-
de-te",,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Morgaditos,"Mor-
gadinho",Cansadinho,Morgadinhos,Morgadinho,Morgado,,,,,,,,,,,,,,,,,,,,,,,,,
235,Brito,Pompa Espiritual,Espirito,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,reputacao duma scula de alquimista,cabo dos guarda-chuvas,cabo do Ultramontanismol,baboso,cabo da faca,cabo dum,concepgeoes dum,,,,,,,,,,,,,,,,,,,,,,,,
237,cRIME DO P AUR,CRIME,CRIME DE,alecrim,UCRI3E D0 AEIE,CRIME DU PAI,O0CRIME,cRIME DO D,crIME DO,cRIME DO P DE A,,,,,,,,,,,,,,,,,,,,,
238,alto do Golgota,Golgota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Tirado,tira-mo:-,Atirava-se,Tira-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Praia Nova,Novaisitos,Novas,Nova devogcaio,bom Novas,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Agonia,Harmonia,Antonia,Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Menino,China,Eugenia,Ninguem,Medicina,Menina,,,,,,,,,,,,,,,,,,,,,,,,,
243,Castaldus,Sua Casa,Castelo,"monte do
Castela",casaste,zas,,,,,,,,,,,,,,,,,,,,,,,,,
244,caricias,planeariam,"Maria
Vencida",Proletariado,ariastlcn,Sacrificaria,fard,Mouraria,Faria,Marialva,Chafariz,,,,,,,,,,,,,,,,,,,,
245,Cercava,Percebia,Percebera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,palhinha,Saldanha.-,Saldanhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Ameias,Gouveia,Dulcineia,Nemeia,Leia,Leia Gravatas,Baleia,,,,,,,,,,,,,,,,,,,,,,,,
248,Pires,Tres,Martyres,Louvores,londres,Coreto,Resumia,florescencla,Flores,Arvore,ores,"tam-
dores",,,,,,,,,,,,,,,,,,,
249,1E,M11E,"um1,P",UM1II,I.UM,UM1E,M1,,,,,,,,,,,,,,,,,,,,,,,,
250,razao,AZ,Razao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Judeia,"Ca o
IDeIa",oDEIA,aldeia,iDeia,,,,,,,,,,,,,,,,,,,,,,,,,,
252,patrio Godinho,Godinha,"RO
Godinho",Alipio de Vasconcelos Godinho,din,Godinho,Godinhos,,,,,,,,,,,,,,,,,,,,,,,,
253,Arregacal,Cortegaca,pe da Cortegaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Valeu,cavalete1,Jalete,vale,Salema,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Abafava,Safal,Safa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,pe da Gastos,barra da cama,pe da chamin,pe da velha,"pe da
cama",s6 da a,pe da mae,Arvore da Cren-,pe da cama,,,,,,,,,,,,,,,,,,,,,,
257,Saber6lo,Sabel,Sabes,Saber,abencoadora,Sabe,Sabe-hands,,,,,,,,,,,,,,,,,,,,,,,,
258,Oh,Ohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Mogno,Jogo,bom mogo,bom paio,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Amor;Raparigas,paris,ParIs,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"Delirio-
sarmento",Carmen,Casamento,Sacramento,Sargento,Trento,Sarmento,,,,,,,,,,,,,,,,,,,,,,,,
262,Sao coisas ue,sao carolina,Sao,Sao baptizados,sao ca,,,,,,,,,,,,,,,,,,,,,,,,,,
263,O1dE DE P,UI1SE DE,Torre de Babel,Se de,Minuete de Mozart,,,,,,,,,,,,,,,,,,,,,,,,,,
264,redacgcao,redacgao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Lis-,Mis-,Li,Impossibilis,Pis,Racionalismol,Lis,,,,,,,,,,,,,,,,,,,,,,,,
266,Havanesa,Olha,Olhavam-no,Ajoelhava,chocalhava,Olhava,,,,,,,,,,,,,,,,,,,,,,,,,
267,saia branca,Branca,derrancada,Branca Divagava,Franga,Casimira Franca,Franca,Vila Franca,,,,,,,,,,,,,,,,,,,,,,,
268,palrava,Procurava,Ignorava,tonturas,Costurava,saturava,Natureza,,,,,,,,,,,,,,,,,,,,,,,,
269,mar-me da janela,Janelas,pe da janela,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"pe da
Prata",Grata,Prata,Prata...,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Esquife,Aquises 1O,Aqul,Chiquital,Raquitico,Aquilo,Aqui,,,,,,,,,,,,,,,,,,,,,,,,
272,Ameliazita,Ameliazinhal,Ameliazinha-,ceiazinha,Amelia s6,Ameliazinha la,Amellazinhal Perdoa,"Ameliazinha da S. Joaneiral
- Que me",Ameliazinha,Amelia,Amelia-,,,,,,,,,,,,,,,,,,,,
273,Arranjes,Dobrara,"Nunes
Ferrara",Chegara,Lembraram-lhe,Caramba,Expirar,Agarrara,arara,mara,,,,,,,,,,,,,,,,,,,,,
274,Utopia,Opp,copia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,snr D,Snr,snr,snr.e D. Catarina,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,cova da enxerga,A S. Jo-,casa de braga,"pe da S. Jo
negra",saleta da S. Jo-,S. Jo-,"casa da
snr",S. Joao da Foz,"casa de
S. Joaneiral--",casa do inferno;-,casa da S. Joaneiral,casa da S. Jo-,,,,,,,,,,,,,,,,,,,
277,D0 PA,Rapaz-,papuda,lorpa,Pal upa,ggrgypAA,Pago,PA,Paulina,,,,,,,,,,,,,,,,,,,,,,
278,Grande galhofa,andes,"S. Joaneiral
Grande",Grandioso,Grande,Mande,,,,,,,,,,,,,,,,,,,,,,,,,
279,Figueira,Trigueiros,estrada da Figueira,Trigueira,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Veremos,colera,La vera,Saavedra,Fizera,Ve,Pudera,Viera,dever1,Persevere,Vera,Comecos da Primavera,ERA ne-,,,,,,,,,,,,,,,,,,
281,Arranja-se-lhe,Dize-lhe,Bufa-lhe,Ia-lhe,Perguntava-lhe,Devo-lhe,D-lhe,Meteu-lhe,Fale-lhe,Pode-lhe,Velo-lhe,Pego-lhe,Se-lhe,,,,,,,,,,,,,,,,,,
282,Face,satisfacaio,satisfac,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Capit,Caspitel-,Caspitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Oonveneao,Provenha,Venho,Venha ca,Venha,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Dois M-,Ndo,Mundo',Dois,Dois Mundos,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Tamanho,mana,Amanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,instraa,Sintra,Tragou,tragedia,Traste,administragcao,patraio,Atraves,Trago,Rabicho,Atraiu-a,tra,trasborda,,,,,,,,,,,,,,,,,,
288,Onde,Ceu nao findava.- cOnde,rua dos Condes,Aonde,"condessa.-
Bastante",Condes,,,,,,,,,,,,,,,,,,,,,,,,,
289,cachoar,Cacetel,Macaco e da Baleia,Acaso,Pacatinlo,acomodacoes,Maca,acusaco,difamacoes,Macaco,,,,,,,,,,,,,,,,,,,,,
290,Encarou,Anaro,Aharo,Cardoso,careca.-,Aivaro,Carocho,Caro,,,,,,,,,,,,,,,,,,,,,,,
291,Coitadinha,It0,Muita,Militar,excitagac,Julita,Freitas,Coitada,Coitaditas,Ievita,Coitadita,Figurita,,,,,,,,,,,,,,,,,,,
292,Chut,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Ldestruicao,desesperados:-,Gertrudes,Debalde,desejo.- Ouve,Desavergonhada,desgra,Desculpe,hdspedes,Guedes,saude,Abades,desafinagcao,Baldeschi,Desconfian,Descia,Des,,,,,,,,,,,,,,
294,viseu,homenseLlava-se totaL PErigo,se5,Sentia,Seculo,causeuse,Se,,,,,,,,,,,,,,,,,,,,,,,,
295,gute,Tem,fauteuil,OORI1tE,Ate,UCTIITEU,Vomite,tes:-,Tejo,Te,,,,,,,,,,,,,,,,,,,,,
296,"ma
caminho",Minho,Carinhos,Caminhante,Caminho,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Feira,Beijo,Pereira,Sequeira,trapeira,Baboseiras,Brincadeiras,Queira,Gargalheira,Pimentas da Poeira,Gralheira,Madeira,Cabeleira,Beira,Moreira,,,,,,,,,,,,,,,,
298,almada,palmas de martires,palmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,I.paninho3,"Libaninho de luvas pretas
cravo ao peito","Libaninho mur-
morava",banuinho,Libaninho atris,Saiba,Libaninho,,,,,,,,,,,,,,,,,,,,,,,,
300,Perdoa,balburdia,Perderam-me,perfidia,Perdoe-me,Perdia,,,,,,,,,,,,,,,,,,,,,,,,,
301,Estimava,"exclamou
Gustavo.-Quando",rua Repastava,Gustavo,Voltava,Esfregava,Estave,Repastava,Citava,Instava,Estava,,,,,,,,,,,,,,,,,,,,
302,Cruzes,I87l,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,chap,Manchas,cantochao,chamin,Michaela,Achara,chavena,cha,chan-,,,,,,,,,,,,,,,,,,,,,,
304,EU0 N1,A1,N1,A1 N1,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Digo,Diga-me 1al Traste,fadiga do porto,Inulsigao,Maldigaol,Diga,,,,,,,,,,,,,,,,,,,,,,,,,
306,e--,Case-me,Acabou-se-pensava-nao,3L,"Se-
hor",Ge-,Disse-mo,Se-,,,,,,,,,,,,,,,,,,,,,,,
