cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37
165,Menino,Ensina,China,Eugenia,Ninguem,Medicina,Menina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,a-,Gra-,Ha-de,E2NEA-,A-,Pa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Alameda Velha,medo:-,Alameda,alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Alcobagca,Alcbagca,bacalhau2,serra de Alcobaca,Alcobagea,Balc,Alcobaca,"Brito de
Alcobaca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Nlgas,Rugas Estas,Castaldus,Sua Casa,Castelo,Teresas,"monte do
Castela",casaste,zas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Maneiras,S. Maneira,S. Maneira:-,S. Matcas,S. Joaneilra,S. Maneiras,S. Maneira.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,palhinha,galinha gorda,Saldanha.-,Saldanhinha,Espanha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Costumava,Procurava,Costurava,saturava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,reeorre,Pires,Tres,Martyres,Louvores,Resumia,florescencla,Flores,Buenos-Aires,Arvore,ores,"tam-
dores",,,,,,,,,,,,,,,,,,,,,,,,,,
174,1E,M11E,"um1,P",I.UM,UM1E,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,razao,Razao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Id-de,ID,Judeia,"Ca o
IDeIa",oDEIA,aldeia,Leia,iDeia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,patrio Godinho,Godinha,"pocilga do
Agostinho","RO
Godinho",Alipio de Vasconcelos Godinho,Godinho,Godinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,palrava,alecrim,Valeu,cavalete1,Alerta,Jalete,vale,Baleia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,pe da Gastos,barra da cama,pe da chamin,"pe da
cama",U,pe da mae,pe da cama,"rua dos Cala-
faces n.e 53",pe da Cortegaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Saber6lo,Sabel,Sabes,Saber,Sabe,Sabe-hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Oh,Ohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Desalento,"Delirio-
sarmento",Carmen,Casamento,Sacramento,Sargento,Sarmento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Sao coisas ue,sao carolina,Sao,Sao baptizados,sao ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Sol
de Dezembro",O1dE DE P,Sol de Maio,grata de Deus,UI1SE DE,victoria de Deus,P DE,Torre de Babel,Sol de Setembro,Se de,Minuete de Mozart,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,redacgcao,I87l,redacgao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Morais,Moral,pOr-me,Mor-,r-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,coimbra,abracos,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Lis-,Mis-,Li,Impossibilis,Pis,Racionalismol,Lis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,mar-me da janela,pe da velha,Janelas,pe da janela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Esquife,Aquises 1O,Aqul,Quinas,Quieta,Raquitico,Aquilo,Aqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Ameliazinhal,Ameliazinha-,ceiazinha,Ameliazinha la,panelinha,Amellazinhal Perdoa,"Ameliazinha da S. Joaneiral
- Que me",Infame,Ameliazinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Ameliazita,Ameias,Santa Amelia-,familia,"dizia.- Homem de
familia...",Amelia s6,Iam,Amelia,Amelia-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Voee,"CLasse9DEANte DE9E.
EEEetEeLEegelEEmeEErE",CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Acordara,Arranjes,pAra,Dobrara,Parabens,"Nunes
Ferrara",Marrazes,Contara,Parado,Chegara,barraca,Engordara,casarao amarelo,Lembraram-lhe,Caramba,Achara,Expirar,Agarrara,arara,mara,,,,,,,,,,,,,,,,,,
195,terra,alteragcao,Cometera,Pater,Terra-Nova,Ferraio,Terreiro,serra,Terras,Terra,aterrado,Inglaterra,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Utopia,Opp,copia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,U  H I1It  1,I0,T 1E  I AI0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,snr.- Goncalves,snr D,Snr,snr,snr.e D. Catarina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,A S. Jo-,V. S,casa de braga,"pe da S. Jo
negra",s6 da a,saleta da S. Jo-,S. Jo-,"casa da
snr",S. Joao da Foz,"casa de
S. Joaneiral--",casa da S. Joaneiral,casa da S. Jo-,snr D. Josefa Dias-,,,,,,,,,,,,,,,,,,,,,,,,,
200,D0 PA,papuda,lorpa,Pal upa,ggrgypAA,Europa,Pago,PA,Paulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Grande galhofa,"S. Joaneiral
Grande",Grandioso,Grande,Mande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Figueira,Riram,Trigueiros,estrada da Figueira,Trigueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Veremos,colera,La vera,Saavedra,veneranda,Pudera,dever1,Percebera,Persevere,Vera,ERA ne-,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Arranja-se-lhe,Dize-lhe,Bufa-lhe,Ia-lhe,Iarselhesa,Devo-lhe,D-lhe,Meteu-lhe,Fale-lhe,Pode-lhe,Velo-lhe,Pego-lhe,Se-lhe,,,,,,,,,,,,,,,,,,,,,,,,,
205,Posso,pesoss,Ciganos,Gansozinhos,baboso,Medroso,Gansosinho,Gan-,Gansosos,Raposo,Ansioso,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Face,fatima,Pacatinlo,satisfacaio,Safa,Fatigou,satisfac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Capit,Caspitel-,Cacetel,Pompa Espiritual,Caspitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Desavergonhada,Provenha,Havemos,Venho,Venha ca,Venha,chavena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Jose Miguel!,egua,"hein2
Ergueu-se",Purgue-se,Segue-,Cheguem-se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Bento
saceristaio","v
do santo concilio de Trento",Santo Ignacio,Imita o de Santo Ignacio,Bendito,"frasc
do Violento","Santo Ignacio
Bendito",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,instraa,Sintra,Tragou,tragedia,Traste,administragcao,trapeira,patraio,Atraves,A21,Trago,Atraiu-a,tra,trasborda,,,,,,,,,,,,,,,,,,,,,,,,
212,"bom
Silencio",Silencio,bom mogo,bom Silencio,bom paio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,confessal,Onde,Ceu nao findava.- cOnde,rua dos Condes,Aonde,consideraco5es,londres,"condessa.-
Bastante",Desconfian,concepgeoes dum,Condes,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,falandocom inuietacao,Macaco e da Baleia,Acaso,Fraco,acomodacoes,Cortegaca,Maca,acusaco,difamacoes,Macaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Encarou,Anaro,prostituicao,Carne,Arouca,cachoar,Aiaro,casimiro,Aharo,Barroca falar,Barroca,Jardim de Lazaro,Aivaro,CARNE,Parou,Carocho,Carreiro,Caro,,,,,,,,,,,,,,,,,,,,
216,Coitadinha,Ta,It0,Muita,Dezoito,Militar,excitagac,Chiquital,Julita,Freitas,Bonita,Meditando,Coitada,necessita,Imita,Coitaditas,Ievita,Coitadita,Figurita,,,,,,,,,,,,,,,,,,,
217,Chut,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,desesperados:-,Gertrudes,Debalde,andes,desgra,deserta,Desculpe,hdspedes,Guedes,saude,Abades,NLLYehas anedotas de frades,desafinagcao,Baldeschi,nandes,Descia,Des,,,,,,,,,,,,,,,,,,,,,
219,fazes.- Ia a dizer:-,Fizera,Dizem-,dize ca,dizer:- Fiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,viseu,homenseLlava-se totaL PErigo,se5,Sejam,Seculo,Pensei,causeuse,Se,Se-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Cario,Os6rio,"cemiterio
de",RIo-de,seminario,Rio,proprio Salario,Osorio,serio,Serio,Laboriosa,Sllverio,rio,Natrio,,,,,,,,,,,,,,,,,,,,,,,,
222,gute,Tem,Atenos,fauteuil,Teles alfaiate.- Ai,Ate,UCTIITEU,mo-te l,Vomite,Foste,Te,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"ma
caminho",Minho,Carinhos,Caminhante,Caminho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Feira,Beijo,bebedeira,Pereira,Sequeira,Baboseiras,Queira,Ferreira,Gralheira,Madeira,Cabeleira,Beira,Moreira,,,,,,,,,,,,,,,,,,,,,,,,,
225,I.paninho3,"Libaninho de luvas pretas
cravo ao peito","Libaninho mur-
morava",banuinho,Libaninho atris,Libaninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Perdoa,balburdia,Perderam-me,perfidia,Conc6rdia,Percebia,Perdoe-me,Perdia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Havanesa,Necessitava,Estimava,Perguntava-lhe,rua Repastava,Gustavo,Voltava,Esfregava,Estave,Repastava,desinquietava,Citava,Instava,Estava,,,,,,,,,,,,,,,,,,,,,,,,
228,Ir,dir-lim,IR,Virgens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,chap,Manchas,Ha,cantochao,chapinhando,chocalhava,chamin,Michaela,Chafariz,cha,chan-,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,EU0 N1,A1,N1,N,A1 N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Ciumes,Iu,S.-O,ciume.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Garriffaldi,Digo,Diga-me 1al Traste,fadiga do porto,Inulsigao,Maldigaol,Diga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
